datetime,open
2011-10-12,1.0
2011-10-14,1.0
2011-10-20,0.999
2011-10-21,0.999
2011-10-24,0.999
2011-10-25,1.001
2011-10-26,1.003
2011-10-27,1.002
2011-10-28,1.009
2011-10-31,1.011
2011-11-01,1.01
2011-11-02,1.027
2011-11-03,1.03
2011-11-04,1.035
2011-11-07,1.031
2011-11-08,1.019
2011-11-09,1.034
2011-11-10,1.019
2011-11-11,1.018
2011-11-14,1.041
2011-11-15,1.048
2011-11-16,1.022
2011-11-17,1.019
2011-11-18,0.992
2011-11-21,0.994
2011-11-22,0.993
2011-11-23,0.985
2011-11-24,0.985
2011-11-25,0.977
2011-11-28,0.975
2011-11-29,0.989
2011-11-30,0.951
2011-12-01,0.973
2011-12-02,0.958
2011-12-05,0.933
2011-12-06,0.933
2011-12-07,0.934
2011-12-08,0.935
2011-12-09,0.927
2011-12-12,0.917
2011-12-13,0.888
2011-12-14,0.873
2011-12-15,0.851
2011-12-16,0.877
2011-12-19,0.877
2011-12-20,0.875
2011-12-21,0.855
2011-12-22,0.846
2011-12-23,0.854
2011-12-26,0.851
2011-12-27,0.832
2011-12-28,0.834
2011-12-29,0.834
2011-12-30,0.849
2011-12-31,0.849
2012-01-04,0.83
2012-01-05,0.802
2012-01-06,0.808
2012-01-09,0.84
2012-01-10,0.871
2012-01-11,0.87
2012-01-12,0.871
2012-01-13,0.845
2012-01-16,0.818
2012-01-17,0.862
2012-01-18,0.846
2012-01-19,0.857
2012-01-20,0.869
2012-01-30,0.861
2012-01-31,0.864
2012-02-01,0.856
2012-02-02,0.871
2012-02-03,0.885
2012-02-06,0.891
2012-02-07,0.878
2012-02-08,0.9
2012-02-09,0.907
2012-02-10,0.912
2012-02-13,0.919
2012-02-14,0.921
2012-02-15,0.933
2012-02-16,0.931
2012-02-17,0.929
2012-02-20,0.933
2012-02-21,0.944
2012-02-22,0.964
2012-02-23,0.966
2012-02-24,0.978
2012-02-27,0.98
2012-02-28,0.977
2012-02-29,0.965
2012-03-01,0.97
2012-03-02,0.992
2012-03-05,0.996
2012-03-06,0.989
2012-03-07,0.981
2012-03-08,0.996
2012-03-09,1.013
2012-03-12,1.017
2012-03-13,1.023
2012-03-14,0.981
2012-03-15,0.971
2012-03-16,0.995
2012-03-19,1.004
2012-03-20,0.984
2012-03-21,0.987
2012-03-22,0.982
2012-03-23,0.963
2012-03-26,0.962
2012-03-27,0.96
2012-03-28,0.919
2012-03-29,0.907
2012-03-30,0.906
2012-03-31,0.906
2012-04-05,0.937
2012-04-06,0.944
2012-04-09,0.934
2012-04-10,0.946
2012-04-11,0.948
2012-04-12,0.967
2012-04-13,0.976
2012-04-16,0.98
2012-04-17,0.965
2012-04-18,0.984
2012-04-19,0.981
2012-04-20,0.988
2012-04-23,0.975
2012-04-24,0.97
2012-04-25,0.983
2012-04-26,0.979
2012-04-27,0.972
2012-05-02,0.99
2012-05-03,0.994
2012-05-04,1.003
2012-05-07,1.009
2012-05-08,1.007
2012-05-09,0.987
2012-05-10,0.992
2012-05-11,0.986
2012-05-14,0.981
2012-05-15,0.983
2012-05-16,0.971
2012-05-17,0.987
2012-05-18,0.971
2012-05-21,0.971
2012-05-22,0.987
2012-05-23,0.986
2012-05-24,0.98
2012-05-25,0.966
2012-05-28,0.978
2012-05-29,0.993
2012-05-30,0.993
2012-05-31,0.994
2012-06-01,0.993
2012-06-04,0.962
2012-06-05,0.959
2012-06-06,0.955
2012-06-07,0.949
2012-06-08,0.946
2012-06-11,0.963
2012-06-12,0.957
2012-06-13,0.976
2012-06-14,0.972
2012-06-15,0.97
2012-06-18,0.979
2012-06-19,0.971
2012-06-20,0.968
2012-06-21,0.955
2012-06-25,0.933
2012-06-26,0.931
2012-06-27,0.929
2012-06-28,0.919
2012-06-29,0.931
2012-06-30,0.931
2012-07-02,0.94
2012-07-03,0.945
2012-07-04,0.942
2012-07-05,0.923
2012-07-06,0.943
2012-07-09,0.921
2012-07-10,0.915
2012-07-11,0.923
2012-07-12,0.936
2012-07-13,0.93
2012-07-16,0.901
2012-07-17,0.908
2012-07-18,0.914
2012-07-19,0.924
2012-07-20,0.917
2012-07-23,0.908
2012-07-24,0.914
2012-07-25,0.905
2012-07-26,0.898
2012-07-27,0.894
2012-07-30,0.876
2012-07-31,0.863
2012-08-01,0.877
2012-08-02,0.872
2012-08-03,0.889
2012-08-06,0.907
2012-08-07,0.915
2012-08-08,0.912
2012-08-09,0.924
2012-08-10,0.922
2012-08-13,0.903
2012-08-14,0.911
2012-08-15,0.901
2012-08-16,0.894
2012-08-17,0.896
2012-08-20,0.897
2012-08-21,0.911
2012-08-22,0.902
2012-08-23,0.908
2012-08-24,0.892
2012-08-27,0.874
2012-08-28,0.88
2012-08-29,0.875
2012-08-30,0.862
2012-08-31,0.865
2012-09-03,0.881
2012-09-04,0.871
2012-09-05,0.877
2012-09-06,0.888
2012-09-07,0.917
2012-09-10,0.923
2012-09-11,0.922
2012-09-12,0.929
2012-09-13,0.919
2012-09-14,0.92
2012-09-17,0.896
2012-09-18,0.893
2012-09-19,0.901
2012-09-20,0.876
2012-09-21,0.87
2012-09-24,0.876
2012-09-25,0.869
2012-09-26,0.85
2012-09-27,0.868
2012-09-28,0.884
2012-09-30,0.884
2012-10-08,0.881
2012-10-09,0.904
2012-10-10,0.911
2012-10-11,0.897
2012-10-12,0.896
2012-10-15,0.893
2012-10-16,0.896
2012-10-17,0.898
2012-10-18,0.914
2012-10-19,0.912
2012-10-22,0.916
2012-10-23,0.904
2012-10-24,0.902
2012-10-25,0.895
2012-10-26,0.878
2012-10-29,0.877
2012-10-30,0.88
2012-10-31,0.883
2012-11-01,0.9
2012-11-02,0.905
2012-11-05,0.901
2012-11-06,0.892
2012-11-07,0.891
2012-11-08,0.872
2012-11-09,0.869
2012-11-12,0.873
2012-11-13,0.856
2012-11-14,0.858
2012-11-15,0.843
2012-11-16,0.839
2012-11-19,0.84
2012-11-20,0.836
2012-11-21,0.845
2012-11-22,0.834
2012-11-23,0.837
2012-11-26,0.827
2012-11-27,0.799
2012-11-28,0.784
2012-11-29,0.777
2012-11-30,0.789
2012-12-03,0.772
2012-12-04,0.783
2012-12-05,0.809
2012-12-06,0.809
2012-12-07,0.825
2012-12-10,0.838
2012-12-11,0.833
2012-12-12,0.833
2012-12-13,0.822
2012-12-14,0.853
2012-12-17,0.861
2012-12-18,0.859
2012-12-19,0.862
2012-12-20,0.865
2012-12-21,0.864
2012-12-24,0.869
2012-12-25,0.888
2012-12-26,0.9
2012-12-27,0.895
2012-12-28,0.906
2012-12-31,0.915
2013-01-04,0.912
2013-01-07,0.921
2013-01-08,0.932
2013-01-09,0.936
2013-01-10,0.942
2013-01-11,0.92
2013-01-14,0.95
2013-01-15,0.966
2013-01-16,0.967
2013-01-17,0.956
2013-01-18,0.969
2013-01-21,0.976
2013-01-22,0.96
2013-01-23,0.962
2013-01-24,0.942
2013-01-25,0.942
2013-01-28,0.965
2013-01-29,0.973
2013-01-30,0.977
2013-01-31,0.972
2013-02-01,0.978
2013-02-04,0.973
2013-02-05,0.984
2013-02-06,0.991
2013-02-07,0.995
2013-02-08,1.008
2013-02-18,1.013
2013-02-19,0.992
2013-02-20,1.013
2013-02-21,0.992
2013-02-22,0.989
2013-02-25,0.997
2013-02-26,0.983
2013-02-27,0.984
2013-02-28,1.001
2013-03-01,1.011
2013-03-04,0.974
2013-03-05,0.994
2013-03-06,1.013
2013-03-07,1.002
2013-03-08,0.993
2013-03-11,0.994
2013-03-12,0.967
2013-03-13,0.958
2013-03-14,0.962
2013-03-15,0.965
2013-03-18,0.952
2013-03-19,0.956
2013-03-20,0.98
2013-03-21,0.988
2013-03-22,0.991
2013-03-25,0.988
2013-03-26,0.982
2013-03-27,0.984
2013-03-28,0.958
2013-03-29,0.959
2013-04-01,0.965
2013-04-02,0.951
2013-04-03,0.944
2013-04-08,0.95
2013-04-09,0.957
2013-04-10,0.956
2013-04-11,0.953
2013-04-12,0.946
2013-04-15,0.933
2013-04-16,0.943
2013-04-17,0.953
2013-04-18,0.955
2013-04-19,0.974
2013-04-22,0.981
2013-04-23,0.955
2013-04-24,0.974
2013-04-25,0.961
2013-04-26,0.948
2013-05-02,0.955
2013-05-03,0.971
2013-05-06,0.989
2013-05-07,0.989
2013-05-08,0.997
2013-05-09,0.994
2013-05-10,1.0
2013-05-13,1.006
2013-05-14,0.995
2013-05-15,1.007
2013-05-16,1.019
2013-05-17,1.034
2013-05-20,1.044
2013-05-21,1.053
2013-05-22,1.042
2013-05-23,1.035
2013-05-24,1.046
2013-05-27,1.054
2013-05-28,1.059
2013-05-29,1.066
2013-05-30,1.069
2013-05-31,1.061
2013-06-03,1.059
2013-06-04,1.035
2013-06-05,1.036
2013-06-06,1.02
2013-06-07,1.001
2013-06-13,0.972
2013-06-14,0.989
2013-06-17,0.993
2013-06-18,0.997
2013-06-19,0.99
2013-06-20,0.959
2013-06-21,0.955
2013-06-24,0.898
2013-06-25,0.893
