datetime,open,rate
2016-12-30,1.0,0
2016-12-31,1.0,0.0
2017-01-06,0.9998,0
2017-01-13,0.9996,0
2017-01-17,1.001,0
2017-01-18,1.0027,0.1698
2017-01-19,0.9999,-0.2792
2017-01-20,1.015,1.5102
2017-01-23,1.0228,0.7685
2017-01-24,1.0256,0.2738
2017-01-25,1.0275,0.1853
2017-01-26,1.0315,0.3893
2017-02-03,1.0255,-0.5817
2017-02-06,1.0295,0.3901
2017-02-07,1.0268,-0.2623
2017-02-08,1.0319,0.4967
2017-02-09,1.0407,0.8528
2017-02-10,1.047,0.6054
2017-02-13,1.0538,0.6495
2017-02-14,1.0501,-0.3511
2017-02-15,1.0496,-0.0476
2017-02-16,1.0549,0.505
2017-02-17,1.0404,-1.3745
2017-02-20,1.0525,1.163
2017-02-21,1.0627,0.9691
2017-02-22,1.0707,0.7528
2017-02-23,1.0743,0.3362
2017-02-24,1.078,0.3444
2017-02-27,1.073,-0.4638
2017-02-28,1.0767,0.3448
2017-03-01,1.0779,0.1115
2017-03-02,1.0682,-0.8999
2017-03-03,1.0725,0.4025
2017-03-06,1.0817,0.8578
2017-03-07,1.0829,0.1109
2017-03-08,1.0751,-0.7203
2017-03-09,1.0655,-0.8929
2017-03-10,1.0671,0.1502
2017-03-13,1.0752,0.7591
2017-03-14,1.0677,-0.6975
2017-03-15,1.0698,0.1967
2017-03-16,1.0762,0.5982
2017-03-17,1.073,-0.2973
2017-03-20,1.0786,0.5219
2017-03-21,1.0831,0.4172
2017-03-22,1.0774,-0.5263
2017-03-23,1.0872,0.9096
2017-03-24,1.0833,-0.3587
2017-03-27,1.0823,-0.0923
2017-03-28,1.0785,-0.3511
2017-03-29,1.0809,0.2225
2017-03-30,1.0654,-1.434
2017-03-31,1.0619,-0.3285
2017-04-05,1.0805,1.7516
2017-04-06,1.0797,-0.074
2017-04-07,1.0874,0.7132
2017-04-10,1.0826,-0.4414
2017-04-11,1.0808,-0.1663
2017-04-12,1.0542,-2.4611
2017-04-13,1.0634,0.8727
2017-04-14,1.0503,-1.2319
2017-04-17,1.0364,-1.3234
2017-04-18,1.0312,-0.5017
2017-04-19,1.0295,-0.1649
2017-04-20,1.0284,-0.1068
2017-04-21,1.0292,0.0778
2017-04-24,1.0177,-1.1174
2017-04-25,1.0147,-0.2948
2017-04-26,1.0163,0.1577
2017-04-27,1.0187,0.2362
2017-04-28,1.0192,0.0491
2017-05-02,1.0253,0.5985
2017-05-03,1.0231,-0.2146
2017-05-04,1.0206,-0.2444
2017-05-05,1.0123,-0.8132
2017-05-08,0.996,-1.6102
2017-05-09,0.9963,0.0301
2017-05-10,0.9919,-0.4416
2017-05-11,0.9939,0.2016
2017-05-12,0.9969,0.3018
2017-05-15,0.9962,-0.0702
2017-05-16,1.0182,2.2084
2017-05-17,1.0139,-0.4223
2017-05-18,1.0071,-0.6707
2017-05-19,1.0014,-0.566
2017-05-22,0.9884,-1.2982
2017-05-23,0.9757,-1.2849
2017-05-24,0.9805,0.492
2017-05-25,0.9856,0.5201
2017-05-26,0.9753,-1.045
2017-05-31,0.9714,-0.3999
2017-06-01,0.9584,-1.3383
2017-06-02,0.9612,0.2922
2017-06-05,0.9705,0.9675
2017-06-06,0.9688,-0.1752
2017-06-07,0.9935,2.5495
2017-06-08,0.9957,0.2214
2017-06-09,0.9993,0.3616
2017-06-12,0.9948,-0.4503
2017-06-13,1.0075,1.2766
2017-06-14,0.9998,-0.7643
2017-06-15,1.008,0.8202
2017-06-16,1.0057,-0.2282
2017-06-19,1.0111,0.5369
2017-06-20,1.0182,0.7022
2017-06-21,1.02,0.1768
2017-06-22,1.0129,-0.6961
2017-06-23,1.0178,0.4838
2017-06-26,1.0301,1.2085
2017-06-27,1.0289,-0.1165
2017-06-28,1.0264,-0.243
2017-06-29,1.027,0.0585
2017-06-30,1.0403,1.295
2017-07-03,1.0559,1.4996
2017-07-04,1.0491,-0.644
2017-07-05,1.0568,0.734
