,symbol,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,code,ticktime,state,statetxt
0,sz159999,永赢500,1.090,-0.009,-0.819,1.089,1.091,1.099,1.096,1.096,1.090,379600,415941,159999,10:56:00,00,正常
1,sz159998,计算机,1.141,-0.010,-0.869,1.140,1.141,1.151,1.153,1.155,1.139,9379810,10727059,159998,10:55:57,00,正常
2,sz159997,电子ETF,1.354,-0.013,-0.951,1.355,1.356,1.367,1.367,1.373,1.351,14167921,19289448,159997,10:56:00,00,正常
3,sz159996,家电ETF,1.415,-0.010,-0.702,1.415,1.416,1.425,1.428,1.432,1.414,16740700,23753841,159996,10:56:00,00,正常
4,sz159995,芯片ETF,1.561,-0.023,-1.452,1.561,1.562,1.584,1.584,1.584,1.555,259156839,407105975,159995,10:56:06,00,正常
5,sz159994,5GETF,0.988,-0.005,-0.504,0.987,0.988,0.993,0.992,0.998,0.986,37509755,37240970,159994,10:56:06,00,正常
6,sz159993,龙头券商,1.146,-0.014,-1.207,1.146,1.147,1.160,1.174,1.187,1.146,44716900,52007829,159993,10:56:03,00,正常
7,sz159992,创新药,1.562,0.026,1.693,1.562,1.563,1.536,1.539,1.569,1.538,73741139,114742821,159992,10:56:06,00,正常
8,sz159991,创大盘,0.718,-0.011,-1.509,0.717,0.718,0.729,0.730,0.746,0.717,16153258,11661890,159991,10:56:03,00,正常
9,sz159990,小盘价值,1.216,-0.002,-0.164,1.215,1.217,1.218,1.218,1.222,1.212,103807,126428,159990,10:56:06,00,正常
10,sz159988,粤债ETF,1.017,0.000,0.000,1.016,1.017,1.017,1.016,1.017,1.016,23000,23371,159988,10:55:15,00,正常
11,sz159987,创新ETF,1.844,-0.018,-0.967,1.842,1.844,1.862,1.861,1.898,1.844,3091301,5729151,159987,10:56:06,00,正常
12,sz159986,消费100,1.535,-0.015,-0.968,1.535,1.539,1.550,1.550,1.550,1.530,213516,327847,159986,10:56:03,00,正常
13,sz159985,豆粕ETF,1.302,0.049,3.911,1.302,1.303,1.253,1.300,1.304,1.295,9632800,12518216,159985,10:55:54,00,正常
14,sz159984,湾区基金,1.362,-0.008,-0.584,1.361,1.362,1.370,1.380,1.382,1.360,45003,61797,159984,10:56:03,00,正常
15,sz159983,大湾区,1.448,-0.008,-0.549,1.448,1.449,1.456,1.457,1.458,1.447,454175,658937,159983,10:56:03,00,正常
16,sz159982,中证500,1.502,-0.008,-0.530,1.501,1.502,1.510,1.511,1.514,1.499,1660400,2499561,159982,10:56:03,00,正常
17,sz159981,能源化工,1.264,0.000,0.000,1.264,1.265,1.264,1.265,1.280,1.264,3575700,4553167,159981,10:56:03,00,正常
18,sz159980,有色ETF,1.347,0.001,0.074,1.347,1.348,1.346,1.346,1.350,1.346,3825200,5155770,159980,10:55:51,00,正常
19,sz159979,湾创100,1.289,-0.001,-0.078,1.289,1.290,1.290,1.275,1.290,1.275,9100,11702,159979,10:55:45,00,正常
20,sz159978,湾区ETF,1.323,0.010,0.762,1.325,1.328,1.313,1.320,1.440,1.320,252905,343849,159978,10:56:00,00,正常
21,sz159977,创业板TH,3.477,-0.032,-0.912,3.475,3.477,3.509,3.509,3.526,3.476,3993600,13970441,159977,10:56:06,00,正常
22,sz159976,湾创ETF,1.333,-0.007,-0.522,1.331,1.333,1.340,1.340,1.340,1.331,67704,90240,159976,10:55:45,00,正常
23,sz159975,深100SZ,0.785,-0.005,-0.633,0.785,0.786,0.790,0.793,0.798,0.784,1484600,1171143,159975,10:56:03,00,正常
24,sz159974,央企创新,1.167,-0.002,-0.171,1.168,1.170,1.169,1.167,1.167,1.167,1000,1167,159974,10:56:00,00,正常
25,sz159973,民企100,1.952,-0.013,-0.662,1.946,1.971,1.965,1.952,1.952,1.952,3000,5856,159973,10:56:06,00,正常
26,sz159972,5年地债,104.400,-0.050,-0.048,104.420,104.450,104.450,104.150,104.401,104.138,20500,2138670,159972,10:55:12,00,正常
27,sz159971,创业100,2.338,-0.010,-0.426,2.325,2.330,2.348,2.348,2.353,2.331,40600,95226,159971,10:56:06,00,正常
28,sz159970,深100ET,6.994,-0.026,-0.370,6.974,6.982,7.020,7.036,7.036,6.972,31300,219512,159970,10:56:06,00,正常
29,sz159969,深100P,1.766,-0.011,-0.619,1.762,1.764,1.777,1.776,1.778,1.761,399700,707338,159969,10:56:06,00,正常
30,sz159968,ZZ500ETF,7.443,-0.026,-0.348,7.443,7.449,7.469,7.469,7.480,7.429,1956471,14584235,159968,10:56:06,00,正常
31,sz159967,创成长,0.824,-0.012,-1.435,0.823,0.824,0.836,0.840,0.842,0.823,176277014,146661958,159967,10:56:06,00,正常
32,sz159966,创蓝筹,0.723,-0.005,-0.687,0.723,0.724,0.728,0.727,0.730,0.722,22694725,16471619,159966,10:56:03,00,正常
33,sz159965,央视50,1.526,0.005,0.329,1.527,1.530,1.521,1.537,1.537,1.522,247800,378226,159965,10:56:03,00,正常
34,sz159964,创业板PA,2.100,0.010,0.478,2.090,2.097,2.090,2.112,2.121,2.091,80900,169988,159964,10:56:06,00,正常
35,sz159962,四川国改,1.688,-0.018,-1.055,1.686,1.690,1.706,1.697,1.697,1.688,1200,2027,159962,10:56:00,00,正常
36,sz159961,深100,2.398,-0.015,-0.622,2.398,2.403,2.413,2.432,2.432,2.398,31400,75374,159961,10:56:06,00,正常
37,sz159960,恒生国企,1.028,-0.002,-0.194,1.028,1.029,1.030,1.026,1.029,1.024,269500,276610,159960,10:55:36,00,正常
38,sz159959,央企ETF,1.282,0.001,0.078,1.276,1.278,1.281,1.278,1.283,1.278,8700,11151,159959,10:56:00,00,正常
39,sz159958,创业板ET,2.006,-0.011,-0.545,1.996,2.001,2.017,2.017,2.025,1.996,2258800,4536335,159958,10:56:06,00,正常
