,date,open,high,low,close,volume,fundname
0,2021-05-07,0.999,0.999,0.969,0.97,97983487,sh516110
1,2021-05-10,0.97,0.992,0.96,0.985,31846961,sh516110
2,2021-05-11,0.982,0.993,0.961,0.982,30740612,sh516110
3,2021-05-12,0.982,1.011,0.976,1.01,31392300,sh516110
4,2021-05-13,1.01,1.01,0.977,0.978,16813000,sh516110
5,2021-05-14,0.974,1.003,0.974,1.003,24466100,sh516110
6,2021-05-17,1.003,1.042,0.997,1.034,34294800,sh516110
7,2021-05-18,1.034,1.039,1.02,1.035,33406687,sh516110
8,2021-05-19,1.037,1.068,1.02,1.058,37348700,sh516110
9,2021-05-20,1.058,1.07,1.05,1.05,29161400,sh516110
10,2021-05-21,1.05,1.055,1.029,1.044,34567100,sh516110
11,2021-05-24,1.044,1.044,1.021,1.028,23784200,sh516110
12,2021-05-25,1.023,1.04,1.023,1.038,21864800,sh516110
13,2021-05-26,1.032,1.062,1.032,1.045,22824100,sh516110
14,2021-05-27,1.045,1.052,1.038,1.045,16575400,sh516110
15,2021-05-28,1.044,1.072,1.039,1.058,21145700,sh516110
16,2021-05-31,1.056,1.063,1.034,1.062,27564700,sh516110
17,2021-06-01,1.054,1.081,1.05,1.074,24324090,sh516110
18,2021-06-02,1.07,1.084,1.065,1.068,23647600,sh516110
19,2021-06-03,1.078,1.078,1.054,1.058,20593800,sh516110
20,2021-06-04,1.058,1.076,1.043,1.07,23747800,sh516110
21,2021-06-07,1.07,1.076,1.062,1.07,18289900,sh516110
22,2021-06-08,1.075,1.095,1.07,1.086,31102800,sh516110
23,2021-06-09,1.091,1.095,1.072,1.091,27851500,sh516110
24,2021-06-10,1.088,1.121,1.088,1.117,20742000,sh516110
25,2021-06-11,1.112,1.146,1.102,1.133,35517461,sh516110
26,2021-06-15,1.142,1.246,1.138,1.153,38385961,sh516110
27,2021-06-16,1.15,1.15,1.082,1.083,38226261,sh516110
28,2021-06-17,1.081,1.109,1.08,1.105,22362100,sh516110
29,2021-06-18,1.11,1.172,1.105,1.162,40343200,sh516110
30,2021-06-21,1.152,1.183,1.134,1.169,28127400,sh516110
31,2021-06-22,1.145,1.197,1.145,1.184,36250900,sh516110
32,2021-06-23,1.183,1.227,1.183,1.209,81831300,sh516110
33,2021-06-24,1.209,1.227,1.198,1.207,34665300,sh516110
34,2021-06-25,1.2,1.215,1.189,1.203,30849900,sh516110
35,2021-06-28,1.203,1.233,1.202,1.219,33112200,sh516110
36,2021-06-29,1.22,1.231,1.182,1.195,29093100,sh516110
37,2021-06-30,1.194,1.196,1.176,1.196,30658900,sh516110
