,date,open,high,low,close,volume,fundname
0,2013-04-11,0.951,0.958,0.939,0.94,483727200,sz159925
1,2013-04-12,0.941,0.945,0.935,0.937,208326464,sz159925
2,2013-04-15,0.93,0.939,0.923,0.926,115924672,sz159925
3,2013-04-16,0.922,0.935,0.92,0.935,96019640,sz159925
4,2013-04-17,0.935,0.937,0.926,0.936,176550160,sz159925
5,2013-04-18,0.928,0.945,0.927,0.938,89623432,sz159925
6,2013-04-19,0.938,0.97,0.938,0.967,164411088,sz159925
7,2013-04-22,0.962,0.967,0.959,0.964,22212160,sz159925
8,2013-04-23,0.963,0.964,0.932,0.935,33009278,sz159925
9,2013-04-24,0.935,0.958,0.932,0.95,88810792,sz159925
10,2013-04-25,0.945,0.954,0.934,0.941,66095872,sz159925
11,2013-04-26,0.953,0.953,0.927,0.931,24891640,sz159925
12,2013-05-02,0.928,0.934,0.921,0.931,51971780,sz159925
13,2013-05-03,0.932,0.962,0.932,0.949,40805404,sz159925
14,2013-05-06,0.949,0.964,0.949,0.961,97887104,sz159925
15,2013-05-07,0.959,0.966,0.953,0.962,113018256,sz159925
16,2013-05-08,0.961,0.98,0.961,0.968,143390256,sz159925
17,2013-05-09,0.967,0.969,0.955,0.962,99689032,sz159925
18,2013-05-10,0.96,0.97,0.957,0.967,46844528,sz159925
19,2013-05-13,0.962,0.97,0.957,0.962,11194725,sz159925
20,2013-05-14,0.964,0.964,0.941,0.95,29497150,sz159925
21,2013-05-15,0.945,0.953,0.945,0.953,11191907,sz159925
22,2013-05-16,0.94,0.972,0.94,0.97,14796040,sz159925
23,2013-05-17,0.966,0.992,0.965,0.988,30274198,sz159925
24,2013-05-20,0.987,1.002,0.987,0.993,34021356,sz159925
25,2013-05-21,0.993,0.997,0.989,0.995,15674495,sz159925
26,2013-05-22,0.996,1.001,0.993,0.996,9554935,sz159925
27,2013-05-23,0.995,1.001,0.982,0.985,15982662,sz159925
28,2013-05-24,0.985,0.994,0.98,0.988,18559366,sz159925
29,2013-05-27,0.984,0.994,0.984,0.988,12948958,sz159925
30,2013-05-28,0.987,1.007,0.98,1.006,46272568,sz159925
31,2013-05-29,1.006,1.017,1.006,1.006,20986360,sz159925
32,2013-05-30,1.006,1.008,1.001,1.003,7390577,sz159925
33,2013-05-31,1.006,1.008,0.991,0.992,11622912,sz159925
34,2013-06-03,0.992,1.0,0.99,0.993,1800144,sz159925
35,2013-06-04,0.995,0.995,0.977,0.98,4110992,sz159925
36,2013-06-05,0.98,0.98,0.974,0.976,1552844,sz159925
37,2013-06-06,0.973,0.98,0.965,0.969,3658908,sz159925
38,2013-06-07,0.967,0.972,0.946,0.952,2487010,sz159925
39,2013-06-13,0.927,0.939,0.91,0.919,11584088,sz159925
40,2013-06-14,0.91,0.925,0.909,0.925,3066031,sz159925
41,2013-06-17,0.925,0.945,0.918,0.922,14804925,sz159925
42,2013-06-18,0.924,0.93,0.917,0.925,11951066,sz159925
43,2013-06-19,0.92,0.92,0.908,0.919,7594084,sz159925
44,2013-06-20,0.916,0.916,0.89,0.897,2208556,sz159925
45,2013-06-21,0.883,0.896,0.873,0.888,7207319,sz159925
46,2013-06-24,0.888,0.888,0.835,0.845,26212726,sz159925
47,2013-06-25,0.839,0.839,0.78,0.827,25339600,sz159925
48,2013-06-26,0.828,0.837,0.816,0.829,32307724,sz159925
49,2013-06-27,0.829,0.843,0.825,0.826,5300546,sz159925
50,2013-06-28,0.827,0.852,0.823,0.841,2654967,sz159925
51,2013-07-01,0.83,0.848,0.83,0.846,6025663,sz159925
52,2013-07-02,0.843,0.85,0.841,0.848,7746073,sz159925
53,2013-07-03,0.846,0.847,0.833,0.845,9017310,sz159925
54,2013-07-04,0.84,0.862,0.834,0.855,12564616,sz159925
55,2013-07-05,0.86,0.866,0.855,0.86,5848338,sz159925
56,2013-07-08,0.853,0.853,0.833,0.834,1427983,sz159925
57,2013-07-09,0.833,0.845,0.831,0.833,1107890,sz159925
58,2013-07-10,0.833,0.852,0.832,0.852,1995213,sz159925
59,2013-07-11,0.858,0.909,0.858,0.893,5983809,sz159925
60,2013-07-12,0.893,0.897,0.876,0.876,3381121,sz159925
61,2013-07-15,0.878,0.901,0.876,0.888,15223670,sz159925
62,2013-07-16,0.884,0.896,0.878,0.89,1623934,sz159925
63,2013-07-17,0.89,0.896,0.878,0.883,6090572,sz159925
64,2013-07-18,0.87,0.88,0.858,0.867,4469590,sz159925
65,2013-07-19,0.871,0.873,0.842,0.842,2580426,sz159925
66,2013-07-22,0.838,0.855,0.835,0.848,941142,sz159925
67,2013-07-23,0.845,0.878,0.845,0.874,1740646,sz159925
68,2013-07-24,0.872,0.874,0.854,0.87,4399913,sz159925
69,2013-07-25,0.87,0.874,0.861,0.867,1114009,sz159925
70,2013-07-26,0.856,0.864,0.854,0.857,1603506,sz159925
71,2013-07-29,0.849,0.849,0.84,0.843,592757,sz159925
72,2013-07-30,0.846,0.861,0.841,0.849,1183469,sz159925
73,2013-07-31,0.854,0.865,0.844,0.849,28246042,sz159925
74,2013-08-01,0.849,0.87,0.849,0.868,15816367,sz159925
75,2013-08-02,0.872,0.882,0.868,0.87,6331408,sz159925
76,2013-08-05,0.868,0.883,0.867,0.88,8579095,sz159925
77,2013-08-06,0.874,0.892,0.872,0.887,3501192,sz159925
78,2013-08-07,0.887,0.897,0.885,0.885,9569614,sz159925
79,2013-08-08,0.882,0.891,0.877,0.88,4016836,sz159925
80,2013-08-09,0.888,0.893,0.873,0.881,1376433,sz159925
81,2013-08-12,0.881,0.913,0.881,0.913,12651364,sz159925
82,2013-08-13,0.912,0.915,0.908,0.913,1824194,sz159925
83,2013-08-14,0.914,0.926,0.907,0.909,6285836,sz159925
84,2013-08-15,0.908,0.916,0.901,0.902,2994797,sz159925
85,2013-08-16,0.901,0.935,0.891,0.894,15096169,sz159925
86,2013-08-19,0.893,0.908,0.887,0.904,2239933,sz159925
87,2013-08-20,0.905,0.912,0.894,0.895,2831941,sz159925
88,2013-08-21,0.896,0.902,0.89,0.895,2213617,sz159925
89,2013-08-22,0.894,0.904,0.893,0.895,1242082,sz159925
90,2013-08-23,0.896,0.902,0.873,0.888,2319902,sz159925
91,2013-08-26,0.889,0.907,0.888,0.907,1773389,sz159925
92,2013-08-27,0.908,0.908,0.901,0.906,3487952,sz159925
93,2013-08-28,0.905,0.908,0.892,0.9,1888091,sz159925
94,2013-08-29,0.901,0.908,0.893,0.897,2083376,sz159925
95,2013-08-30,0.896,0.902,0.891,0.893,2230829,sz159925
96,2013-09-02,0.894,0.901,0.891,0.896,1892357,sz159925
97,2013-09-03,0.896,0.912,0.896,0.911,2719108,sz159925
98,2013-09-04,0.91,0.912,0.909,0.911,11388175,sz159925
99,2013-09-05,0.91,0.91,0.904,0.907,1291207,sz159925
100,2013-09-06,0.906,0.913,0.905,0.912,9278898,sz159925
101,2013-09-09,0.913,0.945,0.913,0.942,10124637,sz159925
102,2013-09-10,0.941,0.959,0.941,0.959,7403219,sz159925
103,2013-09-11,0.96,0.968,0.959,0.961,4546162,sz159925
104,2013-09-12,0.96,0.978,0.959,0.971,5849565,sz159925
105,2013-09-13,0.97,0.974,0.964,0.966,3154486,sz159925
106,2013-09-16,0.965,0.971,0.96,0.962,4682624,sz159925
107,2013-09-17,0.96,0.961,0.945,0.945,3936328,sz159925
108,2013-09-18,0.944,0.975,0.936,0.945,6878971,sz159925
109,2013-09-23,0.936,0.959,0.936,0.956,12972979,sz159925
110,2013-09-24,0.955,0.963,0.938,0.949,1524956,sz159925
111,2013-09-25,0.944,0.95,0.94,0.942,3091269,sz159925
112,2013-09-26,0.942,0.946,0.924,0.925,3052670,sz159925
113,2013-09-27,0.924,0.93,0.923,0.927,1694509,sz159925
114,2013-09-30,0.927,0.937,0.927,0.932,1440790,sz159925
115,2013-10-08,0.931,0.947,0.926,0.944,3850031,sz159925
116,2013-10-09,0.943,0.947,0.94,0.947,2456278,sz159925
117,2013-10-10,0.947,0.949,0.936,0.939,2609137,sz159925
118,2013-10-11,0.94,0.955,0.94,0.954,4093363,sz159925
119,2013-10-14,0.954,0.957,0.952,0.954,2695662,sz159925
120,2013-10-15,0.954,0.956,0.947,0.952,3222218,sz159925
121,2013-10-16,0.951,0.951,0.934,0.937,6344579,sz159925
122,2013-10-17,0.939,0.945,0.935,0.935,16939044,sz159925
123,2013-10-18,0.934,0.945,0.934,0.938,8667635,sz159925
124,2013-10-21,0.937,0.96,0.937,0.959,63915996,sz159925
125,2013-10-22,0.958,0.958,0.946,0.947,1528066,sz159925
126,2013-10-23,0.948,0.959,0.937,0.94,2327462,sz159925
127,2013-10-24,0.941,0.941,0.931,0.931,2664478,sz159925
128,2013-10-25,0.931,0.936,0.913,0.917,2898557,sz159925
129,2013-10-28,0.917,0.921,0.914,0.918,1827265,sz159925
130,2013-10-29,0.919,0.932,0.905,0.916,3091053,sz159925
131,2013-10-30,0.916,0.931,0.916,0.931,2380161,sz159925
132,2013-10-31,0.931,0.931,0.92,0.922,7424597,sz159925
133,2013-11-01,0.923,0.93,0.92,0.927,1586541,sz159925
134,2013-11-04,0.928,0.935,0.923,0.924,1569000,sz159925
135,2013-11-05,0.923,0.926,0.912,0.926,1108170,sz159925
136,2013-11-06,0.925,0.925,0.913,0.914,3175215,sz159925
137,2013-11-07,0.914,0.917,0.905,0.911,1335593,sz159925
138,2013-11-08,0.91,0.91,0.897,0.899,1543038,sz159925
139,2013-11-11,0.899,0.902,0.893,0.899,1453921,sz159925
140,2013-11-12,0.899,0.91,0.899,0.907,2691894,sz159925
141,2013-11-13,0.906,0.906,0.892,0.895,1337228,sz159925
142,2013-11-14,0.896,0.896,0.888,0.895,1705126,sz159925
143,2013-11-15,0.896,0.923,0.896,0.91,2718771,sz159925
144,2013-11-18,0.911,0.94,0.911,0.94,5479085,sz159925
145,2013-11-19,0.94,0.94,0.933,0.933,3281655,sz159925
146,2013-11-20,0.935,0.944,0.933,0.939,4100029,sz159925
147,2013-11-21,0.938,0.938,0.926,0.928,5310737,sz159925
148,2013-11-22,0.929,0.939,0.929,0.932,5004366,sz159925
149,2013-11-25,0.931,0.939,0.927,0.927,4719605,sz159925
150,2013-11-26,0.928,0.932,0.925,0.926,4084700,sz159925
151,2013-11-27,0.927,0.941,0.927,0.936,15749299,sz159925
152,2013-11-28,0.936,0.955,0.936,0.948,19631614,sz159925
153,2013-11-29,0.949,0.949,0.946,0.947,2987558,sz159925
154,2013-12-02,0.947,0.956,0.932,0.94,5263657,sz159925
155,2013-12-03,0.939,0.949,0.937,0.947,2536540,sz159925
156,2013-12-04,0.948,0.964,0.948,0.958,34988496,sz159925
157,2013-12-05,0.958,0.961,0.956,0.957,2529782,sz159925
158,2013-12-06,0.956,0.957,0.951,0.953,1355203,sz159925
159,2013-12-09,0.954,0.96,0.95,0.95,2006019,sz159925
160,2013-12-10,0.951,0.957,0.95,0.95,2080883,sz159925
161,2013-12-11,0.949,0.949,0.931,0.936,2808288,sz159925
162,2013-12-12,0.937,0.94,0.934,0.934,3126964,sz159925
163,2013-12-13,0.932,0.938,0.924,0.934,3532945,sz159925
164,2013-12-16,0.935,0.935,0.918,0.919,2583392,sz159925
165,2013-12-17,0.918,0.92,0.913,0.913,1601815,sz159925
166,2013-12-18,0.913,0.917,0.913,0.913,989096,sz159925
167,2013-12-19,0.914,0.919,0.904,0.904,7562248,sz159925
168,2013-12-20,0.905,0.907,0.886,0.889,7838583,sz159925
169,2013-12-23,0.889,0.89,0.879,0.887,2994535,sz159925
170,2013-12-24,0.887,0.897,0.882,0.886,3382328,sz159925
171,2013-12-25,0.887,0.895,0.886,0.892,3813402,sz159925
172,2013-12-26,0.893,0.893,0.879,0.881,2189696,sz159925
173,2013-12-27,0.881,0.898,0.881,0.892,4301538,sz159925
174,2013-12-30,0.892,0.896,0.889,0.891,3152329,sz159925
175,2013-12-31,0.89,0.905,0.887,0.904,73562632,sz159925
176,2014-01-02,0.904,0.904,0.896,0.898,2122706,sz159925
177,2014-01-03,0.897,0.897,0.884,0.886,2295466,sz159925
178,2014-01-06,0.885,0.885,0.865,0.867,2785961,sz159925
179,2014-01-07,0.866,0.871,0.862,0.866,4703958,sz159925
180,2014-01-08,0.867,0.877,0.863,0.868,6128952,sz159925
181,2014-01-09,0.867,0.875,0.862,0.863,2647502,sz159925
182,2014-01-10,0.862,0.863,0.856,0.857,2747624,sz159925
183,2014-01-13,0.858,0.861,0.849,0.851,2592746,sz159925
184,2014-01-14,0.851,0.859,0.847,0.857,2420244,sz159925
185,2014-01-15,0.857,0.858,0.85,0.855,2027802,sz159925
186,2014-01-16,0.855,0.862,0.853,0.856,6003460,sz159925
187,2014-01-17,0.855,0.855,0.844,0.845,10232729,sz159925
188,2014-01-20,0.844,0.845,0.837,0.84,3722874,sz159925
189,2014-01-21,0.841,0.851,0.84,0.847,2919442,sz159925
190,2014-01-22,0.847,0.868,0.847,0.868,6789076,sz159925
191,2014-01-23,0.868,0.868,0.862,0.865,2806186,sz159925
192,2014-01-24,0.864,0.875,0.861,0.869,5440932,sz159925
193,2014-01-27,0.868,0.868,0.856,0.86,2325836,sz159925
194,2014-01-28,0.861,0.867,0.856,0.861,2553675,sz159925
195,2014-01-29,0.862,0.865,0.862,0.863,809877,sz159925
196,2014-01-30,0.862,0.862,0.853,0.853,1498100,sz159925
197,2014-02-07,0.848,0.854,0.842,0.854,650192,sz159925
198,2014-02-10,0.859,0.877,0.859,0.875,3929712,sz159925
199,2014-02-11,0.875,0.888,0.874,0.882,3883564,sz159925
200,2014-02-12,0.883,0.887,0.883,0.884,2072684,sz159925
201,2014-02-13,0.883,0.889,0.881,0.881,7426377,sz159925
202,2014-02-14,0.882,0.886,0.881,0.886,41903336,sz159925
203,2014-02-17,0.892,0.896,0.89,0.893,4604992,sz159925
204,2014-02-18,0.893,0.894,0.881,0.883,2245706,sz159925
205,2014-02-19,0.882,0.896,0.881,0.893,4401616,sz159925
206,2014-02-20,0.892,0.901,0.886,0.886,4766300,sz159925
207,2014-02-21,0.886,0.886,0.875,0.876,4358009,sz159925
208,2014-02-24,0.876,0.876,0.853,0.857,4173330,sz159925
