,symbol,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,code,ticktime,state,statetxt
0,sz169201,浙商鼎盈,0.000,0.000,0.000,1.969,2.039,2.000,0.000,0.000,0.000,0,0,169201,10:55:21,00,正常
1,sz169107,东证恒阳,1.256,0.000,0.000,1.251,1.256,1.256,1.261,1.261,1.251,21314,26730,169107,10:55:30,00,正常
2,sz169106,东证创优,1.000,-0.001,-0.100,0.999,1.000,1.001,1.000,1.000,0.998,368886,368595,169106,10:55:24,00,正常
3,sz169105,东证睿华,2.361,-0.016,-0.673,2.360,2.361,2.377,2.360,2.361,2.350,37200,87598,169105,10:55:15,00,正常
4,sz169104,东证睿满,2.814,-0.022,-0.776,2.810,2.814,2.836,2.836,2.836,2.809,530389,1495921,169104,10:55:27,00,正常
5,sz169103,东证睿轩,1.954,-0.001,-0.051,1.942,1.954,1.955,1.955,1.973,1.950,42900,84194,169103,10:55:18,00,正常
6,sz169102,东证睿阳,2.148,-0.002,-0.093,2.132,2.148,2.150,2.149,2.165,2.122,77400,165756,169102,10:56:03,00,正常
7,sz169101,东证睿丰,2.392,-0.013,-0.541,2.391,2.404,2.405,2.409,2.409,2.383,91400,219237,169101,10:55:54,00,正常
8,sz168701,金融科技,1.060,-0.011,-1.027,1.060,1.062,1.071,1.073,1.073,1.057,13300,14171,168701,10:55:18,00,正常
9,sz168401,红土精选,2.510,-0.009,-0.357,2.502,2.529,2.519,2.520,2.550,2.510,7102,17944,168401,10:55:54,00,正常
10,sz168301,东海祥龙,0.000,0.000,0.000,1.617,1.654,1.630,0.000,0.000,0.000,0,0,168301,10:56:00,00,正常
11,sz168207,中融创业,1.018,-0.002,-0.196,1.018,1.019,1.020,1.030,1.030,1.012,976905,994566,168207,10:55:27,00,正常
12,sz168204,中融煤炭,1.183,-0.015,-1.252,1.183,1.196,1.198,1.179,1.200,1.179,6114,7221,168204,10:55:48,00,正常
13,sz168203,中融钢铁,1.190,0.017,1.449,1.187,1.197,1.173,1.186,1.190,1.186,9200,10947,168203,10:56:03,00,正常
14,sz168108,九泰锐诚,0.000,0.000,0.000,1.482,1.510,1.500,0.000,0.000,0.000,0,0,168108,10:55:15,00,正常
15,sz168106,盈华A,0.000,0.000,0.000,1.423,1.460,1.460,0.000,0.000,0.000,0,0,168106,10:56:00,00,正常
16,sz168104,九泰锐丰,2.232,-0.045,-1.976,2.216,2.240,2.277,2.232,2.232,2.232,300,670,168104,10:56:06,00,正常
17,sz168102,九泰锐富,1.501,-0.004,-0.266,1.491,1.520,1.505,1.506,1.506,1.500,62100,93402,168102,10:56:00,00,正常
18,sz168101,九泰锐智,0.000,0.000,0.000,2.073,2.100,2.100,0.000,0.000,0.000,0,0,168101,10:55:27,00,正常
19,sz168002,国寿精选,0.000,0.000,0.000,2.429,2.498,2.480,0.000,0.000,0.000,0,0,168002,10:55:39,00,正常
20,sz167508,安信价值,1.335,-0.002,-0.150,1.335,1.337,1.337,1.334,1.338,1.334,97305,129846,167508,10:55:24,00,正常
21,sz167506,深圳科技,1.507,0.000,0.000,1.496,1.508,1.507,1.508,1.508,1.507,21300,32119,167506,10:56:03,00,正常
22,sz167302,湾区LOF,0.000,0.000,0.000,1.196,1.209,1.210,0.000,0.000,0.000,0,0,167302,10:56:06,00,正常
23,sz167301,保险主题,0.893,0.000,0.000,0.892,0.893,0.893,0.892,0.896,0.890,2550688,2279046,167301,10:56:03,00,正常
24,sz167003,平安鼎弘,0.000,0.000,0.000,1.107,1.128,1.124,0.000,0.000,0.000,0,0,167003,10:55:48,00,正常
25,sz167002,平安鼎越,2.351,0.019,0.815,2.348,2.390,2.332,2.343,2.414,2.343,31394,74878,167002,10:55:30,00,正常
26,sz167001,平安鼎泰,1.779,0.005,0.282,1.779,1.780,1.774,1.774,1.800,1.741,372315,656673,167001,10:56:03,00,正常
27,sz166902,民生增利,1.054,0.000,0.000,1.045,1.053,1.054,1.054,1.054,1.054,700,738,166902,10:55:21,00,正常
28,sz166402,沪港深F,0.000,0.000,0.000,1.001,1.040,1.026,0.000,0.000,0.000,0,0,166402,10:55:54,00,正常
29,sz166107,多因子A,1.399,0.024,1.745,1.383,1.397,1.375,1.396,1.399,1.395,3200,4467,166107,10:55:45,00,正常
30,sz166027,中欧创业,1.037,0.002,0.193,1.036,1.037,1.035,1.037,1.040,1.033,2034305,2108431,166027,10:56:03,00,正常
31,sz166025,中欧远见,1.244,-0.001,-0.080,1.243,1.245,1.245,1.245,1.249,1.243,69100,86030,166025,10:55:51,00,正常
32,sz166024,中欧恒利,1.013,-0.001,-0.099,1.014,1.017,1.014,1.013,1.020,1.013,172600,175067,166024,10:55:24,00,正常
33,sz166023,中欧瑞丰,1.407,0.000,0.000,1.398,1.407,1.407,1.417,1.417,1.393,177192,248254,166023,10:55:24,00,正常
34,sz166016,中欧纯债,0.000,0.000,0.000,1.106,1.112,1.112,0.000,0.000,0.000,0,0,166016,10:56:03,00,正常
35,sz166011,中欧盛世,0.000,0.000,0.000,2.632,2.659,2.630,0.000,0.000,0.000,0,0,166011,10:56:03,00,正常
36,sz166009,中欧动力,3.508,0.000,0.000,3.479,3.529,3.508,3.508,3.508,3.508,100,351,166009,10:55:15,00,正常
37,sz166008,中欧强债,0.993,0.002,0.202,0.994,0.995,0.991,0.994,0.994,0.991,1714,1703,166008,10:55:48,00,正常
38,sz166006,中欧成长,2.605,-0.009,-0.344,2.596,2.603,2.614,2.617,2.618,2.598,467686,1220031,166006,10:55:18,00,正常
39,sz166001,中欧趋势,1.748,-0.007,-0.399,1.745,1.748,1.755,1.750,1.764,1.740,140100,244825,166001,10:55:30,00,正常
40,sz165528,信诚鼎利,1.551,0.000,0.000,1.552,1.592,1.551,1.551,1.551,1.551,7,11,165528,10:56:00,00,正常
41,sz165525,基建工程,0.685,0.002,0.293,0.685,0.686,0.683,0.684,0.687,0.684,3393485,2326391,165525,10:55:48,00,正常
42,sz165522,信诚TMT,0.935,-0.004,-0.426,0.935,0.941,0.939,0.936,0.939,0.929,7589,7064,165522,10:55:27,00,正常
43,sz165521,信诚金融,1.128,0.000,0.000,1.127,1.132,1.128,1.125,1.128,1.125,132993,150013,165521,10:56:00,00,正常
44,sz165520,信诚有色,1.484,-0.008,-0.536,1.484,1.492,1.492,1.500,1.502,1.484,21865,32680,165520,10:55:36,00,正常
45,sz165517,信诚双盈,0.000,0.000,0.000,0.883,0.892,0.890,0.000,0.000,0.000,0,0,165517,10:55:36,00,正常
46,sz165516,信诚周期,5.579,-0.060,-1.064,5.553,5.560,5.639,5.638,5.638,5.522,478400,2667962,165516,10:55:51,00,正常
47,sz165515,信诚300,1.266,-0.004,-0.315,1.252,1.266,1.270,1.270,1.270,1.250,815296,1032325,165515,10:55:39,00,正常
48,sz165513,信诚商品,0.420,0.000,0.000,0.419,0.420,0.420,0.419,0.420,0.418,598000,250707,165513,10:55:18,00,正常
49,sz165512,信诚机遇,1.875,0.001,0.053,1.858,1.875,1.874,1.875,1.875,1.855,4667,8664,165512,10:56:03,00,正常
50,sz165511,信诚500,1.680,0.006,0.358,1.662,1.679,1.674,1.695,1.704,1.649,30482,50900,165511,10:55:39,00,正常
51,sz165510,信诚四国,0.844,0.000,0.000,0.843,0.844,0.844,0.845,0.845,0.844,3000,2535,165510,10:56:06,00,正常
52,sz165509,信诚增强,1.289,0.007,0.546,1.266,1.289,1.282,1.288,1.289,1.288,200,258,165509,10:55:09,00,正常
53,sz165508,信诚深度,2.610,-0.018,-0.685,2.595,2.628,2.628,2.610,2.610,2.610,900,2349,165508,10:55:18,00,正常
54,sz165317,建信丰裕,2.272,-0.088,-3.729,2.304,2.360,2.360,2.272,2.272,2.272,1000,2272,165317,10:56:00,00,正常
55,sz165313,建信优势,3.218,-0.011,-0.341,3.216,3.221,3.229,3.226,3.243,3.218,248111,799422,165313,10:55:57,00,正常
56,sz165309,建信300,1.848,-0.007,-0.377,1.844,1.866,1.855,1.848,1.848,1.848,1000,1848,165309,10:55:39,00,正常
57,sz164906,中国互联,1.791,-0.010,-0.555,1.790,1.791,1.801,1.797,1.797,1.785,4164136,7447955,164906,10:56:00,00,正常
58,sz164902,交银添利,1.197,-0.001,-0.083,1.193,1.197,1.198,1.197,1.197,1.197,100,120,164902,10:56:00,00,正常
59,sz164824,印度基金,1.139,-0.005,-0.437,1.138,1.139,1.144,1.143,1.143,1.134,77300,87899,164824,10:55:18,00,正常
60,sz164814,工银双债,0.000,0.000,0.000,1.030,1.051,1.044,0.000,0.000,0.000,0,0,164814,10:55:12,00,正常
61,sz164810,工银纯债,1.016,0.000,0.000,1.015,1.016,1.016,1.016,1.016,1.016,63800,64821,164810,10:55:45,00,正常
62,sz164705,添富恒生,1.130,0.000,0.000,1.121,1.130,1.130,1.130,1.130,1.130,500,565,164705,10:55:12,00,正常
63,sz164702,添富季红,0.984,-0.009,-0.906,0.985,0.992,0.993,0.992,0.992,0.984,3900,3868,164702,10:55:09,00,正常
64,sz164701,添富贵金,0.748,0.001,0.134,0.747,0.748,0.747,0.748,0.748,0.747,1789,1338,164701,10:55:33,00,正常
65,sz164606,信用增利,0.000,0.000,0.000,1.132,1.226,1.140,0.000,0.000,0.000,0,0,164606,10:56:06,00,正常
66,sz164509,国富恒利,0.000,0.000,0.000,0.942,0.948,0.942,0.000,0.000,0.000,0,0,164509,10:55:48,00,正常
67,sz164508,国富100,0.000,0.000,0.000,1.454,1.483,1.484,0.000,0.000,0.000,0,0,164508,10:55:36,00,正常
68,sz164403,农业精选,1.606,0.002,0.125,1.606,1.607,1.604,1.602,1.606,1.598,97597,156202,164403,10:56:03,00,正常
69,sz163907,中海惠裕,0.000,0.000,0.000,0.821,0.826,0.826,0.000,0.000,0.000,0,0,163907,10:56:06,00,正常
