,date,open,high,low,close,volume,fundname
0,2018-01-31,1.056,1.079,1.038,1.06,3256175,sh501051
1,2018-02-01,1.06,1.06,1.046,1.06,1514615,sh501051
2,2018-02-02,1.047,1.06,1.047,1.059,1832962,sh501051
3,2018-02-05,1.057,1.06,1.055,1.06,467643,sh501051
4,2018-02-06,1.057,1.057,1.041,1.041,1727149,sh501051
5,2018-02-07,1.145,1.145,1.041,1.044,977037,sh501051
6,2018-02-08,1.036,1.046,1.015,1.024,908808,sh501051
7,2018-02-09,1.026,1.026,0.985,0.995,866179,sh501051
8,2018-02-12,0.995,1.017,0.994,1.014,506402,sh501051
9,2018-02-13,1.028,1.028,1.01,1.013,516295,sh501051
10,2018-02-14,1.017,1.026,1.001,1.015,166229,sh501051
11,2018-02-22,1.021,1.034,1.021,1.034,344053,sh501051
12,2018-02-23,1.038,1.038,1.03,1.035,634256,sh501051
13,2018-02-26,1.037,1.044,1.035,1.043,559388,sh501051
14,2018-02-27,1.047,1.047,1.038,1.04,126700,sh501051
15,2018-02-28,1.038,1.04,1.032,1.036,223500,sh501051
16,2018-03-01,1.034,1.039,1.031,1.036,261799,sh501051
17,2018-03-02,1.035,1.038,1.029,1.03,233565,sh501051
18,2018-03-05,1.017,1.033,1.017,1.032,128874,sh501051
19,2018-03-06,1.027,1.033,1.023,1.026,465118,sh501051
20,2018-03-07,1.031,1.031,1.016,1.025,238064,sh501051
21,2018-03-08,1.025,1.031,1.024,1.03,303408,sh501051
22,2018-03-09,1.037,1.037,1.029,1.031,355736,sh501051
23,2018-03-12,1.031,1.035,1.03,1.031,769289,sh501051
24,2018-03-13,1.031,1.031,1.026,1.028,183621,sh501051
25,2018-03-14,1.028,1.028,1.023,1.025,464353,sh501051
26,2018-03-15,1.023,1.027,1.023,1.027,432511,sh501051
27,2018-03-16,1.025,1.037,1.025,1.033,144845,sh501051
28,2018-03-19,1.022,1.032,1.022,1.032,251929,sh501051
29,2018-03-20,1.028,1.032,1.025,1.03,317896,sh501051
30,2018-03-21,1.039,1.039,1.028,1.033,569120,sh501051
31,2018-03-22,1.03,1.03,1.015,1.026,129988,sh501051
32,2018-03-23,0.999,1.03,0.99,1.0,1523479,sh501051
33,2018-03-26,1.0,1.0,0.97,0.995,129220,sh501051
34,2018-03-27,1.01,1.035,1.0,1.01,245871,sh501051
35,2018-03-28,1.01,1.01,0.99,0.995,517619,sh501051
36,2018-03-29,0.997,1.01,0.995,1.005,14000,sh501051
37,2018-03-30,0.98,1.007,0.98,0.994,125381,sh501051
38,2018-04-02,0.994,0.995,0.986,0.987,168019,sh501051
39,2018-04-03,0.987,0.987,0.982,0.983,109500,sh501051
40,2018-04-04,0.996,1.004,0.985,0.998,132700,sh501051
41,2018-04-09,0.998,0.998,0.95,0.979,262802,sh501051
42,2018-04-10,0.976,0.997,0.975,0.997,683821,sh501051
43,2018-04-11,0.985,0.998,0.985,0.995,262681,sh501051
44,2018-04-12,0.988,0.999,0.988,0.995,77076,sh501051
45,2018-04-13,0.99,1.004,0.986,0.999,39889,sh501051
46,2018-04-16,0.975,1.002,0.973,0.973,356468,sh501051
47,2018-04-17,0.973,0.994,0.963,0.963,102977,sh501051
48,2018-04-18,0.953,0.99,0.953,0.99,64265,sh501051
49,2018-04-19,0.952,0.985,0.952,0.984,124094,sh501051
50,2018-04-20,0.952,0.98,0.952,0.963,156331,sh501051
51,2018-04-23,0.953,0.965,0.953,0.962,122200,sh501051
52,2018-04-24,0.962,0.988,0.962,0.968,205280,sh501051
53,2018-04-25,0.968,0.971,0.962,0.97,336031,sh501051
54,2018-04-26,0.962,0.962,0.942,0.952,211070,sh501051
55,2018-04-27,0.945,0.951,0.941,0.951,61787,sh501051
56,2018-05-02,0.943,0.951,0.94,0.949,253677,sh501051
57,2018-05-03,0.936,0.956,0.936,0.955,301739,sh501051
58,2018-05-04,0.961,0.961,0.943,0.957,147749,sh501051
59,2018-05-07,0.95,0.969,0.95,0.968,47578,sh501051
60,2018-05-08,0.968,0.992,0.968,0.992,344886,sh501051
61,2018-05-09,0.975,0.993,0.975,0.991,96643,sh501051
62,2018-05-10,0.981,0.995,0.98,0.992,30800,sh501051
63,2018-05-11,0.979,0.99,0.975,0.977,249300,sh501051
64,2018-05-14,0.987,0.99,0.974,0.99,180088,sh501051
65,2018-05-15,0.99,1.012,0.981,0.992,498871,sh501051
66,2018-05-16,0.99,0.999,0.984,0.984,256800,sh501051
67,2018-05-17,0.973,0.988,0.973,0.979,261980,sh501051
68,2018-05-18,0.979,0.988,0.978,0.979,62600,sh501051
69,2018-05-21,0.98,0.995,0.98,0.995,146577,sh501051
70,2018-05-22,0.982,0.995,0.982,0.995,49734,sh501051
71,2018-05-23,0.975,0.995,0.975,0.985,133792,sh501051
72,2018-05-24,0.965,1.0,0.965,0.974,169400,sh501051
73,2018-05-25,0.969,0.98,0.958,0.979,16341,sh501051
74,2018-05-28,0.951,0.987,0.951,0.987,53641,sh501051
75,2018-05-29,0.961,0.98,0.961,0.98,5600,sh501051
76,2018-05-30,0.935,0.999,0.906,0.949,273812,sh501051
77,2018-05-31,0.949,0.97,0.949,0.97,63981,sh501051
78,2018-06-01,0.966,0.984,0.965,0.982,172595,sh501051
79,2018-06-04,0.99,0.99,0.967,0.989,33616,sh501051
80,2018-06-05,0.981,1.01,0.981,0.998,735031,sh501051
81,2018-06-06,0.984,1.006,0.984,1.0,89354,sh501051
82,2018-06-07,0.998,1.004,0.993,0.993,172597,sh501051
83,2018-06-08,0.95,0.998,0.95,0.996,2100,sh501051
84,2018-06-11,0.966,0.994,0.966,0.992,71590,sh501051
85,2018-06-12,0.975,1.001,0.975,1.001,1311777,sh501051
86,2018-06-13,0.993,1.003,0.993,1.003,400601,sh501051
87,2018-06-14,0.992,0.999,0.992,0.999,1100,sh501051
88,2018-06-15,0.999,0.999,0.984,0.998,84258,sh501051
89,2018-06-19,0.97,0.998,0.957,0.96,724543,sh501051
90,2018-06-20,0.974,0.995,0.955,0.955,59881,sh501051
91,2018-06-21,0.958,0.989,0.955,0.957,136645,sh501051
92,2018-06-22,0.965,0.966,0.96,0.966,258375,sh501051
93,2018-06-25,0.965,0.977,0.961,0.961,90208,sh501051
94,2018-06-26,0.945,0.983,0.945,0.954,45700,sh501051
95,2018-06-27,0.954,0.968,0.933,0.938,193600,sh501051
96,2018-06-28,0.936,0.936,0.919,0.922,41200,sh501051
97,2018-06-29,0.892,0.944,0.892,0.93,123200,sh501051
98,2018-07-02,0.917,0.918,0.907,0.907,133669,sh501051
99,2018-07-03,0.985,0.985,0.9,0.935,36200,sh501051
100,2018-07-04,0.919,0.919,0.901,0.901,20900,sh501051
101,2018-07-05,0.901,0.901,0.901,0.901,400,sh501051
102,2018-07-06,0.91,0.91,0.87,0.904,86089,sh501051
103,2018-07-09,0.904,0.904,0.88,0.903,303947,sh501051
104,2018-07-10,0.894,0.902,0.894,0.9,96314,sh501051
105,2018-07-11,0.855,0.894,0.855,0.888,432342,sh501051
106,2018-07-12,0.917,0.917,0.879,0.896,40664,sh501051
107,2018-07-13,0.902,0.902,0.902,0.902,10000,sh501051
108,2018-07-16,0.904,0.919,0.895,0.916,59675,sh501051
109,2018-07-17,0.915,0.915,0.894,0.894,14183,sh501051
110,2018-07-18,0.917,0.917,0.894,0.894,36700,sh501051
111,2018-07-19,0.894,0.91,0.889,0.89,96300,sh501051
112,2018-07-20,0.91,0.915,0.9,0.915,14800,sh501051
113,2018-07-23,0.918,0.92,0.918,0.919,11000,sh501051
114,2018-07-24,0.92,0.938,0.895,0.933,63998,sh501051
115,2018-07-25,0.92,0.93,0.92,0.922,74564,sh501051
116,2018-07-26,0.938,0.938,0.922,0.922,4200,sh501051
117,2018-07-27,0.934,0.934,0.9,0.909,26100,sh501051
118,2018-07-30,0.909,0.909,0.909,0.909,19762,sh501051
119,2018-07-31,0.905,0.915,0.905,0.91,138361,sh501051
120,2018-08-01,0.919,0.919,0.901,0.901,95900,sh501051
121,2018-08-02,0.895,0.895,0.855,0.892,206868,sh501051
122,2018-08-03,0.888,0.888,0.865,0.886,56300,sh501051
123,2018-08-06,0.841,0.878,0.841,0.876,32017,sh501051
124,2018-08-07,0.92,0.92,0.85,0.89,56907,sh501051
125,2018-08-08,0.852,0.887,0.852,0.856,85281,sh501051
126,2018-08-09,0.878,0.878,0.878,0.878,3200,sh501051
127,2018-08-10,0.877,0.878,0.86,0.877,20981,sh501051
128,2018-08-13,0.854,0.854,0.854,0.854,16100,sh501051
129,2018-08-14,0.862,0.862,0.856,0.859,65369,sh501051
130,2018-08-15,0.859,0.859,0.853,0.855,45200,sh501051
131,2018-08-16,0.855,0.855,0.85,0.85,20100,sh501051
132,2018-08-17,0.85,0.85,0.828,0.828,216200,sh501051
133,2018-08-20,0.828,0.848,0.828,0.83,206313,sh501051
134,2018-08-21,0.84,0.854,0.84,0.854,39000,sh501051
135,2018-08-22,0.843,0.903,0.843,0.844,212701,sh501051
136,2018-08-23,0.85,0.85,0.846,0.85,142100,sh501051
137,2018-08-24,0.843,0.845,0.843,0.845,106100,sh501051
138,2018-08-27,0.852,0.894,0.852,0.857,88256,sh501051
139,2018-08-28,0.866,0.898,0.864,0.898,123300,sh501051
140,2018-08-29,0.866,0.884,0.866,0.874,42106,sh501051
141,2018-08-30,0.872,0.873,0.852,0.873,120487,sh501051
142,2018-08-31,0.852,0.863,0.852,0.855,11600,sh501051
143,2018-09-03,0.844,0.871,0.844,0.846,209900,sh501051
144,2018-09-05,0.848,0.848,0.843,0.843,7100,sh501051
145,2018-09-06,0.851,0.851,0.825,0.825,65600,sh501051
146,2018-09-07,0.845,0.845,0.828,0.828,6600,sh501051
147,2018-09-10,0.828,0.828,0.828,0.828,1000,sh501051
148,2018-09-11,0.826,0.826,0.821,0.821,36800,sh501051
149,2018-09-12,0.822,0.822,0.811,0.811,36000,sh501051
150,2018-09-13,0.83,0.83,0.79,0.819,141400,sh501051
151,2018-09-14,0.792,0.819,0.792,0.817,14629,sh501051
152,2018-09-17,0.8,0.807,0.8,0.803,28729,sh501051
153,2018-09-18,0.804,0.822,0.804,0.814,186118,sh501051
154,2018-09-19,0.825,0.843,0.82,0.834,2033214,sh501051
155,2018-09-20,0.838,0.839,0.837,0.838,313733,sh501051
156,2018-09-21,0.855,0.869,0.855,0.866,409880,sh501051
157,2018-09-25,0.86,0.86,0.857,0.857,37164,sh501051
158,2018-09-26,0.875,0.879,0.867,0.877,231116,sh501051
159,2018-09-27,0.859,0.87,0.859,0.864,543014,sh501051
160,2018-09-28,0.867,0.875,0.866,0.872,289681,sh501051
161,2018-10-08,0.868,0.868,0.836,0.857,92609,sh501051
162,2018-10-10,0.865,0.865,0.826,0.826,209,sh501051
163,2018-10-11,0.765,0.824,0.765,0.797,71611,sh501051
164,2018-10-12,0.799,0.8,0.795,0.8,170325,sh501051
165,2018-10-15,0.8,0.8,0.8,0.8,2000,sh501051
166,2018-10-17,0.795,0.8,0.79,0.8,78600,sh501051
167,2018-10-18,0.752,0.88,0.752,0.774,502471,sh501051
168,2018-10-19,0.778,0.785,0.778,0.785,296581,sh501051
169,2018-10-22,0.829,0.85,0.82,0.846,21700,sh501051
170,2018-10-23,0.821,0.853,0.81,0.853,101552,sh501051
171,2018-10-24,0.835,0.836,0.835,0.836,1100,sh501051
172,2018-10-25,0.8,0.807,0.8,0.807,11000,sh501051
173,2018-10-26,0.806,0.806,0.806,0.806,6000,sh501051
174,2018-10-29,0.806,0.806,0.773,0.797,39200,sh501051
175,2018-10-30,0.798,0.798,0.771,0.793,18544,sh501051
176,2018-10-31,0.81,0.81,0.78,0.781,59508,sh501051
177,2018-11-01,0.794,0.795,0.794,0.795,6500,sh501051
178,2018-11-02,0.816,0.817,0.816,0.817,15482,sh501051
179,2018-11-05,0.797,0.82,0.797,0.82,25344,sh501051
180,2018-11-06,0.791,0.86,0.791,0.86,11362,sh501051
181,2018-11-07,0.84,0.84,0.81,0.81,7784,sh501051
182,2018-11-08,0.809,0.829,0.808,0.829,11046,sh501051
183,2018-11-09,0.8,0.828,0.8,0.828,9000,sh501051
184,2018-11-12,0.827,0.827,0.823,0.823,8500,sh501051
185,2018-11-13,0.823,0.86,0.823,0.86,1300,sh501051
186,2018-11-14,0.803,0.803,0.803,0.803,600,sh501051
187,2018-11-15,0.854,0.854,0.854,0.854,100,sh501051
188,2018-11-16,0.78,0.853,0.78,0.853,98936,sh501051
189,2018-11-19,0.804,0.857,0.804,0.82,45644,sh501051
190,2018-11-20,0.82,0.838,0.82,0.82,10800,sh501051
191,2018-11-21,0.817,0.818,0.817,0.818,2700,sh501051
192,2018-11-22,0.82,0.82,0.82,0.82,7200,sh501051
193,2018-11-23,0.821,0.821,0.815,0.815,4100,sh501051
194,2018-11-26,0.767,0.822,0.767,0.79,56895,sh501051
195,2018-11-27,0.791,0.795,0.79,0.795,26321,sh501051
196,2018-11-28,0.795,0.81,0.795,0.809,22200,sh501051
197,2018-11-29,0.78,0.78,0.78,0.78,200,sh501051
198,2018-11-30,0.78,0.78,0.78,0.78,6700,sh501051
199,2018-12-03,0.832,0.832,0.819,0.822,115384,sh501051
200,2018-12-06,0.81,0.811,0.81,0.811,10500,sh501051
201,2018-12-07,0.803,0.804,0.803,0.804,60507,sh501051
202,2018-12-10,0.791,0.807,0.791,0.807,4100,sh501051
203,2018-12-12,0.82,0.82,0.816,0.817,1300,sh501051
204,2018-12-13,0.838,0.841,0.824,0.828,363223,sh501051
205,2018-12-14,0.811,0.812,0.811,0.812,40000,sh501051
206,2018-12-17,0.807,0.807,0.807,0.807,5500,sh501051
207,2018-12-18,0.8,0.845,0.796,0.804,24101,sh501051
208,2018-12-19,0.743,0.743,0.743,0.743,370000,sh501051
209,2018-12-20,0.779,0.779,0.779,0.779,44923,sh501051
210,2018-12-21,0.772,0.792,0.742,0.788,69058,sh501051
211,2018-12-24,0.784,0.84,0.784,0.84,19400,sh501051
212,2018-12-25,0.788,0.824,0.788,0.824,26923,sh501051
213,2018-12-27,0.757,0.848,0.757,0.848,8220,sh501051
214,2018-12-28,0.788,0.8,0.788,0.8,64369,sh501051
215,2019-01-02,0.771,0.819,0.771,0.819,1100,sh501051
216,2019-01-03,0.84,0.848,0.84,0.844,2000,sh501051
217,2019-01-04,0.809,0.809,0.8,0.8,1100,sh501051
218,2019-01-07,0.805,0.805,0.805,0.805,25100,sh501051
219,2019-01-08,0.805,0.805,0.805,0.805,2900,sh501051
220,2019-01-09,0.838,0.838,0.838,0.838,100,sh501051
221,2019-01-10,0.791,0.806,0.791,0.806,474089,sh501051
222,2019-01-11,0.823,0.823,0.823,0.823,1500,sh501051
223,2019-01-14,0.781,0.781,0.781,0.781,17797,sh501051
224,2019-01-15,0.791,0.801,0.791,0.801,41746,sh501051
225,2019-01-17,0.809,0.809,0.809,0.809,646,sh501051
226,2019-01-18,0.82,0.828,0.82,0.822,69800,sh501051
227,2019-01-21,0.828,0.831,0.828,0.83,55196,sh501051
228,2019-01-22,0.831,0.831,0.831,0.831,2923,sh501051
229,2019-01-23,0.826,0.826,0.818,0.818,13500,sh501051
230,2019-01-24,0.833,0.834,0.829,0.833,245423,sh501051
231,2019-01-25,0.843,0.845,0.835,0.845,244100,sh501051
232,2019-01-28,0.845,0.845,0.838,0.838,20500,sh501051
233,2019-01-29,0.837,0.851,0.837,0.846,62048,sh501051
234,2019-01-30,0.849,0.866,0.842,0.842,30448,sh501051
235,2019-02-01,0.846,0.858,0.846,0.851,42900,sh501051
236,2019-02-11,0.859,0.88,0.848,0.88,312327,sh501051
237,2019-02-12,0.889,0.889,0.876,0.884,126800,sh501051
238,2019-02-13,0.879,0.894,0.879,0.889,97613,sh501051
239,2019-02-14,0.89,0.894,0.885,0.894,40788,sh501051
240,2019-02-15,0.893,0.893,0.876,0.878,38900,sh501051
241,2019-02-18,0.895,0.91,0.892,0.904,360408,sh501051
242,2019-02-19,0.908,0.91,0.894,0.895,166237,sh501051
243,2019-02-20,0.903,0.907,0.896,0.907,193954,sh501051
244,2019-02-21,0.907,0.917,0.901,0.901,307342,sh501051
245,2019-02-22,0.892,0.917,0.892,0.908,313206,sh501051
246,2019-02-25,0.937,0.95,0.92,0.949,671903,sh501051
247,2019-02-26,0.948,0.951,0.936,0.94,348207,sh501051
248,2019-02-27,0.944,0.948,0.93,0.944,270582,sh501051
249,2019-02-28,0.924,0.938,0.924,0.937,232594,sh501051
250,2019-03-01,0.941,0.944,0.937,0.944,381510,sh501051
251,2019-03-04,0.957,0.983,0.957,0.963,496862,sh501051
252,2019-03-05,0.962,0.982,0.93,0.972,981575,sh501051
253,2019-03-06,0.978,0.983,0.966,0.983,729316,sh501051
254,2019-03-07,0.982,0.982,0.958,0.969,602534,sh501051
255,2019-03-08,0.955,0.955,0.926,0.926,260271,sh501051
256,2019-03-11,0.94,0.946,0.934,0.946,141616,sh501051
257,2019-03-12,1.037,1.038,0.946,0.968,857365,sh501051
258,2019-03-13,0.942,0.954,0.933,0.953,1325597,sh501051
259,2019-03-14,0.941,0.98,0.933,0.933,1240850,sh501051
260,2019-03-15,0.947,0.972,0.947,0.968,724025,sh501051
261,2019-03-18,0.979,0.995,0.972,0.993,739032,sh501051
262,2019-03-19,1.0,1.0,0.992,0.995,272588,sh501051
263,2019-03-20,0.986,0.999,0.98,0.995,205554,sh501051
264,2019-03-21,0.99,0.993,0.981,0.981,239318,sh501051
265,2019-03-22,0.984,0.986,0.984,0.986,265200,sh501051
266,2019-03-25,0.97,0.975,0.97,0.974,227819,sh501051
267,2019-03-26,0.968,0.984,0.968,0.975,244400,sh501051
268,2019-03-27,0.982,0.982,0.976,0.982,141876,sh501051
269,2019-03-28,0.99,0.99,0.99,0.99,100,sh501051
270,2019-03-29,0.99,1.02,0.99,1.018,2461383,sh501051
271,2019-04-01,1.019,1.058,1.019,1.053,2655064,sh501051
272,2019-04-02,1.053,1.056,1.05,1.056,2068091,sh501051
273,2019-04-03,1.041,1.062,1.041,1.062,1181682,sh501051
274,2019-04-04,1.145,1.145,1.045,1.056,506027,sh501051
275,2019-04-08,1.07,1.083,1.054,1.063,1576373,sh501051
276,2019-04-09,1.068,1.073,1.058,1.073,1028325,sh501051
277,2019-04-10,1.073,1.089,1.069,1.081,2114883,sh501051
278,2019-04-11,1.089,1.09,1.056,1.071,734753,sh501051
279,2019-04-12,1.054,1.058,1.053,1.058,227159,sh501051
280,2019-04-15,1.058,1.072,1.043,1.043,191550,sh501051
281,2019-04-16,1.041,1.079,1.041,1.075,1138276,sh501051
282,2019-04-17,1.078,1.086,1.07,1.082,1358834,sh501051
283,2019-04-18,1.08,1.083,1.076,1.081,178562,sh501051
284,2019-04-19,1.082,1.09,1.074,1.088,449971,sh501051
285,2019-04-22,1.082,1.088,1.06,1.076,211646,sh501051
286,2019-04-23,1.059,1.074,1.059,1.071,302633,sh501051
287,2019-04-24,1.061,1.069,1.054,1.068,47754,sh501051
288,2019-04-25,1.058,1.072,1.05,1.05,217528,sh501051
289,2019-04-26,1.055,1.055,1.043,1.045,590248,sh501051
290,2019-04-29,1.034,1.135,1.0,1.054,1791913,sh501051
291,2019-04-30,1.059,1.059,1.042,1.053,192561,sh501051
292,2019-05-06,1.03,1.03,1.0,1.0,84800,sh501051
293,2019-05-07,1.09,1.09,1.003,1.005,80382,sh501051
294,2019-05-08,1.0,1.053,1.0,1.001,54888,sh501051
295,2019-05-09,1.0,1.005,0.976,0.99,63663,sh501051
296,2019-05-10,0.976,1.018,0.976,1.018,103563,sh501051
297,2019-05-14,0.975,1.017,0.975,1.017,10681,sh501051
298,2019-05-15,1.005,1.03,1.005,1.03,64285,sh501051
299,2019-05-16,1.014,1.025,1.014,1.025,61782,sh501051
300,2019-05-17,1.025,1.025,1.002,1.003,425700,sh501051
301,2019-05-20,0.982,0.999,0.982,0.999,57590,sh501051
302,2019-05-21,0.999,1.013,0.998,1.01,154390,sh501051
303,2019-05-23,0.986,0.986,0.986,0.986,7500,sh501051
304,2019-05-24,0.987,1.018,0.978,0.981,27879,sh501051
305,2019-05-27,1.002,1.004,1.002,1.004,2100,sh501051
306,2019-05-28,1.009,1.011,0.988,0.988,399856,sh501051
307,2019-05-29,0.962,1.064,0.962,0.994,56100,sh501051
308,2019-05-31,1.068,1.069,0.903,0.995,756598,sh501051
309,2019-06-03,0.932,0.991,0.932,0.987,52535,sh501051
310,2019-06-10,0.972,0.972,0.972,0.972,264691,sh501051
311,2019-06-11,0.988,1.024,0.974,1.012,679283,sh501051
312,2019-06-12,1.008,1.011,1.008,1.011,1900,sh501051
313,2019-06-14,1.001,1.002,0.993,0.993,54184,sh501051
314,2019-06-17,0.994,0.997,0.994,0.997,25100,sh501051
315,2019-06-18,0.995,0.995,0.994,0.995,19800,sh501051
316,2019-06-19,1.003,1.007,1.003,1.007,337323,sh501051
317,2019-06-20,1.026,1.035,1.019,1.032,825359,sh501051
318,2019-06-21,1.034,1.04,1.03,1.04,103027,sh501051
319,2019-06-24,1.039,1.045,1.039,1.039,198395,sh501051
320,2019-06-25,1.039,1.039,1.039,1.039,10000,sh501051
321,2019-06-26,1.021,1.038,1.021,1.038,20200,sh501051
322,2019-06-27,1.048,1.051,1.037,1.049,771066,sh501051
323,2019-06-28,1.05,1.05,1.048,1.049,323442,sh501051
324,2019-07-01,1.068,1.08,1.058,1.08,1164966,sh501051
325,2019-07-02,1.073,1.082,1.071,1.082,1042100,sh501051
326,2019-07-03,1.08,1.084,1.072,1.076,420112,sh501051
327,2019-07-04,1.078,1.078,1.06,1.06,356217,sh501051
328,2019-07-05,1.071,1.084,1.062,1.078,381206,sh501051
329,2019-07-08,1.046,1.075,1.046,1.075,9981,sh501051
330,2019-07-09,1.068,1.068,1.049,1.049,533176,sh501051
331,2019-07-10,1.049,1.058,1.045,1.058,100043,sh501051
332,2019-07-11,1.058,1.075,1.048,1.058,91868,sh501051
333,2019-07-12,1.05,1.064,1.05,1.064,21600,sh501051
334,2019-07-18,1.03,1.058,1.03,1.049,20979,sh501051
335,2019-07-19,1.033,1.033,1.033,1.033,65219,sh501051
336,2019-07-22,1.036,1.042,1.036,1.04,57600,sh501051
337,2019-07-23,1.04,1.074,1.033,1.038,715430,sh501051
338,2019-07-24,1.049,1.05,1.049,1.05,16800,sh501051
339,2019-07-25,1.099,1.099,1.04,1.05,189219,sh501051
340,2019-07-26,1.05,1.064,1.05,1.063,781024,sh501051
341,2019-07-29,1.055,1.07,1.055,1.069,191015,sh501051
342,2019-07-30,1.069,1.078,1.064,1.072,184215,sh501051
343,2019-07-31,1.056,1.07,1.056,1.065,39187,sh501051
344,2019-08-02,1.033,1.052,1.033,1.052,52513,sh501051
345,2019-08-05,1.04,1.04,1.022,1.022,168000,sh501051
346,2019-08-06,1.002,1.022,1.002,1.021,68116,sh501051
347,2019-08-07,1.017,1.043,1.017,1.043,98914,sh501051
348,2019-08-08,1.026,1.031,1.026,1.031,50642,sh501051
349,2019-08-09,1.04,1.046,1.027,1.046,306781,sh501051
350,2019-08-12,1.031,1.054,1.031,1.054,64300,sh501051
351,2019-08-13,1.05,1.052,1.044,1.049,54635,sh501051
352,2019-08-14,1.05,1.05,1.05,1.05,4800,sh501051
353,2019-08-15,1.045,1.052,1.036,1.052,36100,sh501051
354,2019-08-16,1.052,1.059,1.052,1.058,30200,sh501051
355,2019-08-19,1.054,1.072,1.054,1.072,59300,sh501051
356,2019-08-20,1.072,1.073,1.068,1.069,398724,sh501051
357,2019-08-21,1.065,1.077,1.065,1.073,392190,sh501051
358,2019-08-22,1.073,1.078,1.068,1.078,554751,sh501051
359,2019-08-23,1.07,1.082,1.07,1.082,329804,sh501051
360,2019-08-26,1.075,1.075,1.035,1.074,30073,sh501051
361,2019-08-27,1.083,1.092,1.073,1.086,444801,sh501051
362,2019-08-28,1.074,1.084,1.074,1.077,234208,sh501051
363,2019-08-29,1.081,1.081,1.072,1.079,507431,sh501051
364,2019-08-30,1.076,1.093,1.076,1.09,733359,sh501051
365,2019-09-02,1.086,1.095,1.086,1.095,103378,sh501051
366,2019-09-03,1.088,1.096,1.085,1.096,77363,sh501051
367,2019-09-04,1.108,1.108,1.082,1.097,259983,sh501051
368,2019-09-05,1.096,1.111,1.096,1.102,896277,sh501051
369,2019-09-06,1.101,1.108,1.095,1.105,208289,sh501051
370,2019-09-09,1.107,1.113,1.104,1.112,942119,sh501051
371,2019-09-10,1.11,1.114,1.104,1.113,159881,sh501051
372,2019-09-11,1.106,1.109,1.101,1.101,993199,sh501051
373,2019-09-12,1.097,1.117,1.097,1.117,111373,sh501051
374,2019-09-16,1.104,1.106,1.104,1.106,55714,sh501051
375,2019-09-17,1.105,1.11,1.098,1.104,241046,sh501051
376,2019-09-18,1.105,1.12,1.105,1.119,637056,sh501051
377,2019-09-19,1.109,1.119,1.109,1.117,8600,sh501051
378,2019-09-20,1.117,1.123,1.113,1.123,683344,sh501051
379,2019-09-23,1.148,1.148,1.097,1.11,11492,sh501051
380,2019-09-24,1.11,1.117,1.105,1.107,497183,sh501051
381,2019-09-25,1.099,1.108,1.097,1.097,29369,sh501051
382,2019-09-26,1.099,1.112,1.092,1.108,328744,sh501051
383,2019-09-27,1.095,1.111,1.095,1.111,197890,sh501051
384,2019-09-30,1.098,1.098,1.091,1.091,10500,sh501051
385,2019-10-08,1.091,1.15,1.091,1.096,165623,sh501051
386,2019-10-09,1.086,1.086,1.086,1.086,19774,sh501051
387,2019-10-10,1.086,1.103,1.086,1.103,436265,sh501051
388,2019-10-11,1.11,1.118,1.104,1.118,229935,sh501051
389,2019-10-14,1.14,1.14,1.115,1.123,195572,sh501051
390,2019-10-15,1.122,1.122,1.113,1.122,402274,sh501051
391,2019-10-16,1.12,1.12,1.109,1.109,68833,sh501051
392,2019-10-17,1.123,1.123,1.11,1.118,10081,sh501051
393,2019-10-18,1.111,1.112,1.108,1.112,20067,sh501051
394,2019-10-21,1.101,1.115,1.101,1.115,5200,sh501051
395,2019-10-22,1.107,1.119,1.107,1.116,6081,sh501051
396,2019-10-23,1.111,1.12,1.111,1.12,72591,sh501051
397,2019-10-24,1.106,1.124,1.106,1.124,1100,sh501051
398,2019-10-25,1.119,1.125,1.119,1.125,112745,sh501051
399,2019-10-28,1.125,1.128,1.122,1.128,194317,sh501051
400,2019-10-29,1.115,1.129,1.115,1.127,113604,sh501051
401,2019-10-30,1.117,1.122,1.021,1.117,3999,sh501051
402,2019-10-31,1.108,1.114,1.108,1.114,25201,sh501051
403,2019-11-01,1.115,1.126,1.112,1.126,64901,sh501051
404,2019-11-04,1.13,1.13,1.12,1.127,16581,sh501051
405,2019-11-05,1.129,1.129,1.122,1.127,283632,sh501051
406,2019-11-07,1.113,1.124,1.113,1.124,10600,sh501051
407,2019-11-08,1.127,1.127,1.118,1.122,39968,sh501051
408,2019-11-11,1.104,1.117,1.097,1.117,34366,sh501051
409,2019-11-12,1.118,1.118,1.114,1.114,800,sh501051
410,2019-11-13,1.217,1.217,1.093,1.104,105687,sh501051
