,date,open,high,low,close,volume,fundname
0,2006-04-07,1.087,1.098,1.085,1.09,1519459,sz162607
1,2006-04-10,1.089,1.09,1.08,1.09,1677122,sz162607
2,2006-04-11,1.091,1.093,1.086,1.093,1375240,sz162607
3,2006-04-12,1.09,1.095,1.09,1.094,287633,sz162607
4,2006-04-13,1.088,1.089,1.067,1.068,172006,sz162607
5,2006-04-14,1.068,1.085,1.056,1.085,100818,sz162607
6,2006-04-17,1.095,1.16,1.095,1.101,1117654,sz162607
7,2006-04-18,1.11,1.11,1.109,1.11,547845,sz162607
8,2006-04-19,1.109,1.122,1.104,1.122,430985,sz162607
9,2006-04-20,1.133,1.153,1.131,1.14,57496,sz162607
10,2006-04-21,1.139,1.16,1.139,1.16,87300,sz162607
11,2006-04-24,1.17,1.175,1.166,1.175,207905,sz162607
12,2006-04-25,1.18,1.2,1.18,1.198,146003,sz162607
13,2006-04-26,1.208,1.208,1.198,1.208,149220,sz162607
14,2006-04-27,1.18,1.181,1.17,1.172,236004,sz162607
15,2006-04-28,1.18,1.2,1.175,1.2,256918,sz162607
16,2006-05-08,1.201,1.23,1.2,1.23,276423,sz162607
17,2006-05-09,1.25,1.28,1.239,1.28,69505,sz162607
18,2006-05-10,1.28,1.348,1.28,1.282,174400,sz162607
19,2006-05-11,1.29,1.344,1.29,1.34,175242,sz162607
20,2006-05-12,1.347,1.415,1.342,1.4,201800,sz162607
21,2006-05-15,1.4,1.504,1.4,1.504,283106,sz162607
22,2006-05-16,1.5,1.5,1.458,1.466,201412,sz162607
23,2006-05-17,1.437,1.438,1.32,1.347,158600,sz162607
24,2006-05-18,1.27,1.396,1.27,1.375,202772,sz162607
25,2006-05-19,1.39,1.435,1.34,1.432,211350,sz162607
26,2006-05-22,1.381,1.399,1.377,1.39,108995,sz162607
27,2006-05-23,1.366,1.387,1.322,1.34,96061,sz162607
28,2006-05-24,1.34,1.393,1.3,1.3,84200,sz162607
29,2006-05-25,1.302,1.339,1.302,1.32,33334,sz162607
30,2006-05-26,1.33,1.33,1.33,1.33,20104,sz162607
31,2006-05-29,1.35,1.38,1.35,1.378,95880,sz162607
32,2006-05-30,1.378,1.42,1.378,1.41,166203,sz162607
33,2006-05-31,1.418,1.428,1.394,1.406,264905,sz162607
34,2006-06-01,1.405,1.43,1.405,1.43,364932,sz162607
35,2006-06-02,1.43,1.43,1.393,1.4,74102,sz162607
36,2006-06-05,1.39,1.4,1.39,1.4,21200,sz162607
37,2006-06-06,1.4,1.4,1.38,1.397,60200,sz162607
38,2006-06-07,1.36,1.36,1.32,1.35,34600,sz162607
39,2006-06-08,1.281,1.31,1.281,1.31,68200,sz162607
40,2006-06-09,1.284,1.32,1.284,1.32,55505,sz162607
41,2006-06-12,1.292,1.339,1.292,1.312,62107,sz162607
42,2006-06-13,1.323,1.351,1.323,1.34,140100,sz162607
43,2006-06-14,1.32,1.35,1.32,1.35,24605,sz162607
44,2006-06-15,1.35,1.36,1.35,1.36,1300,sz162607
45,2006-06-16,1.36,1.391,1.36,1.39,68435,sz162607
46,2006-06-19,1.4,1.42,1.4,1.42,160971,sz162607
47,2006-06-20,1.419,1.419,1.393,1.41,21900,sz162607
48,2006-06-21,1.39,1.42,1.39,1.392,40800,sz162607
49,2006-06-22,1.406,1.406,1.39,1.396,7400,sz162607
50,2006-06-23,1.38,1.396,1.38,1.395,56400,sz162607
51,2006-06-26,1.41,1.42,1.41,1.41,48900,sz162607
52,2006-06-27,1.408,1.409,1.408,1.409,65701,sz162607
53,2006-06-28,1.395,1.4,1.384,1.4,127201,sz162607
54,2006-06-29,1.4,1.43,1.4,1.43,284364,sz162607
55,2006-06-30,1.438,1.445,1.415,1.423,142804,sz162607
56,2006-07-03,1.43,1.443,1.43,1.443,288100,sz162607
57,2006-07-04,1.421,1.428,1.42,1.426,78800,sz162607
58,2006-07-05,1.4,1.402,1.4,1.402,14600,sz162607
59,2006-07-06,1.44,1.45,1.423,1.45,77306,sz162607
60,2006-07-07,1.456,1.479,1.434,1.439,94100,sz162607
61,2006-07-10,1.44,1.44,1.44,1.44,2000,sz162607
62,2006-07-11,1.44,1.46,1.44,1.46,6000,sz162607
63,2006-07-12,1.479,1.479,1.452,1.452,2001,sz162607
64,2006-07-13,1.453,1.453,1.334,1.438,2800,sz162607
