,date,open,high,low,close,volume
0,2019-07-05,1.041,1.045,1.036,1.043,1465267054
1,2019-07-08,1.038,1.039,1.018,1.021,191011674
2,2019-07-09,1.02,1.025,1.015,1.018,85060861
3,2019-07-10,1.02,1.023,1.011,1.014,44737280
4,2019-07-11,1.018,1.026,1.014,1.017,54079282
5,2019-07-12,1.017,1.029,1.017,1.025,62224275
6,2019-07-15,1.024,1.033,1.009,1.024,40109683
7,2019-07-16,1.02,1.027,1.02,1.023,28899188
8,2019-07-17,1.02,1.025,1.018,1.02,25714410
9,2019-07-18,1.019,1.02,1.015,1.017,16344119
10,2019-07-19,1.02,1.031,1.02,1.027,46706222
11,2019-07-22,1.026,1.031,1.02,1.022,36673456
12,2019-07-23,1.022,1.027,1.022,1.025,25287761
13,2019-07-24,1.026,1.038,1.026,1.032,50934507
14,2019-07-25,1.032,1.04,1.032,1.039,61512754
15,2019-07-26,1.037,1.043,1.035,1.041,59752615
16,2019-07-29,1.041,1.043,1.038,1.041,26176043
17,2019-07-30,1.041,1.051,1.041,1.046,54318889
18,2019-07-31,1.043,1.045,1.034,1.035,13997738
19,2019-08-01,1.033,1.035,1.023,1.026,13506120
20,2019-08-02,1.019,1.019,1.007,1.014,25832122
21,2019-08-05,1.01,1.01,0.994,0.996,48231020
22,2019-08-06,0.992,0.992,0.975,0.986,29967753
23,2019-08-07,0.99,0.992,0.98,0.981,23524100
24,2019-08-08,0.981,0.995,0.981,0.993,15940700
25,2019-08-09,0.994,0.998,0.985,0.988,13870300
26,2019-08-12,0.988,1.001,0.988,1.0,14977100
27,2019-08-13,0.996,0.997,0.99,0.992,12587900
28,2019-08-14,1.002,1.003,0.991,0.991,15874577
29,2019-08-15,0.987,0.996,0.979,0.995,19764239
30,2019-08-16,0.994,1.0,0.989,0.993,28148500
31,2019-08-19,0.995,1.009,0.994,1.008,33337880
32,2019-08-20,1.008,1.011,1.005,1.007,25334300
33,2019-08-21,1.006,1.01,1.004,1.007,11260053
34,2019-08-22,1.009,1.01,1.002,1.007,13071053
35,2019-08-23,1.006,1.015,1.006,1.014,38648884
36,2019-08-26,1.008,1.008,0.995,1.0,17793484
37,2019-08-27,1.002,1.015,1.002,1.01,27395295
38,2019-08-28,1.009,1.01,1.001,1.002,19163100
39,2019-08-29,1.002,1.004,0.993,0.997,21151900
40,2019-08-30,0.999,1.006,0.994,0.997,19028000
41,2019-09-02,0.997,1.011,0.997,1.005,35712112
42,2019-09-03,1.008,1.009,1.004,1.007,84507727
43,2019-09-04,1.006,1.024,1.006,1.024,123659891
44,2019-09-05,1.029,1.044,1.025,1.03,140156954
45,2019-09-06,1.035,1.039,1.031,1.039,96715830
46,2019-09-09,1.043,1.046,1.036,1.038,109230741
47,2019-09-10,1.037,1.038,1.03,1.033,116105760
48,2019-09-11,1.036,1.038,1.031,1.036,82144357
49,2019-09-12,1.037,1.046,1.036,1.045,115567149
50,2019-09-16,1.047,1.048,1.037,1.041,101203840
51,2019-09-17,1.038,1.038,1.022,1.025,113645369
52,2019-09-18,1.026,1.03,1.025,1.027,89058976
53,2019-09-19,1.027,1.029,1.023,1.028,16813846
54,2019-09-20,1.027,1.029,1.025,1.028,91033506
55,2019-09-23,1.023,1.025,1.012,1.016,108931573
56,2019-09-24,1.016,1.021,1.015,1.016,26966907
57,2019-09-25,1.013,1.018,1.011,1.014,30056230
58,2019-09-26,1.019,1.022,1.015,1.016,27308609
59,2019-09-27,1.016,1.017,1.01,1.014,19165360
60,2019-09-30,1.014,1.017,1.006,1.006,28785447
61,2019-10-08,1.006,1.02,1.006,1.016,24515635
62,2019-10-09,1.012,1.026,1.012,1.021,22558400
63,2019-10-10,1.021,1.023,1.018,1.022,19440877
64,2019-10-11,1.024,1.039,1.024,1.035,32772373
65,2019-10-14,1.042,1.059,1.042,1.05,66282305
66,2019-10-15,1.047,1.05,1.043,1.046,26592892
67,2019-10-16,1.048,1.059,1.044,1.044,36944292
68,2019-10-17,1.044,1.05,1.042,1.046,24033800
69,2019-10-18,1.047,1.053,1.029,1.03,23749204
70,2019-10-21,1.03,1.038,1.029,1.036,20646600
71,2019-10-22,1.036,1.038,1.03,1.035,20349000
72,2019-10-23,1.035,1.04,1.029,1.033,18902100
73,2019-10-24,1.034,1.041,1.033,1.037,15735800
74,2019-10-25,1.035,1.035,1.024,1.034,19936400
75,2019-10-28,1.034,1.039,1.029,1.033,18515782
76,2019-10-29,1.032,1.035,1.029,1.03,12881996
77,2019-10-30,1.03,1.034,1.024,1.028,20635052
78,2019-10-31,1.03,1.031,1.022,1.024,23260107
79,2019-11-01,1.023,1.044,1.022,1.042,31201291
80,2019-11-04,1.043,1.049,1.041,1.045,26580240
81,2019-11-05,1.045,1.062,1.044,1.054,47591685
