,date,open,high,low,close,volume,fundname
0,2016-08-22,0.993,0.996,0.975,0.976,79543700,sh512810
1,2016-08-23,0.978,0.981,0.971,0.974,12710100,sh512810
2,2016-08-24,0.974,0.989,0.97,0.981,14545600,sh512810
3,2016-08-25,0.981,0.981,0.964,0.976,11415800,sh512810
4,2016-08-26,0.986,0.988,0.972,0.983,9506100,sh512810
5,2016-08-29,0.983,0.992,0.98,0.985,17829800,sh512810
6,2016-08-30,0.982,0.998,0.979,0.991,40994900,sh512810
7,2016-08-31,0.991,0.991,0.982,0.984,3510600,sh512810
8,2016-09-01,0.983,0.989,0.974,0.975,3971700,sh512810
9,2016-09-02,0.975,0.976,0.963,0.967,4172100,sh512810
10,2016-09-05,0.985,0.985,0.967,0.97,3364800,sh512810
11,2016-09-06,0.966,0.979,0.96,0.978,6375901,sh512810
12,2016-09-07,0.981,0.989,0.98,0.981,10680262,sh512810
13,2016-09-08,0.982,0.985,0.98,0.982,3736901,sh512810
14,2016-09-09,0.983,0.991,0.98,0.98,30096362,sh512810
15,2016-09-12,0.97,0.97,0.952,0.952,6036800,sh512810
16,2016-09-13,0.967,0.967,0.951,0.96,3022300,sh512810
17,2016-09-14,0.953,0.959,0.953,0.957,2170800,sh512810
18,2016-09-19,0.954,0.97,0.954,0.958,2514100,sh512810
19,2016-09-20,0.954,0.957,0.951,0.951,3002600,sh512810
20,2016-09-21,0.95,0.958,0.95,0.956,3867062,sh512810
21,2016-09-22,0.964,0.964,0.955,0.956,2828900,sh512810
22,2016-09-23,0.956,0.958,0.953,0.953,5118500,sh512810
23,2016-09-26,0.952,0.953,0.929,0.93,4150700,sh512810
24,2016-09-27,0.93,0.933,0.921,0.932,4609000,sh512810
25,2016-09-28,0.932,0.938,0.93,0.935,2370900,sh512810
26,2016-09-29,0.935,0.94,0.932,0.933,2842700,sh512810
27,2016-09-30,0.935,0.941,0.935,0.937,1197700,sh512810
28,2016-10-10,0.936,0.964,0.936,0.964,5193800,sh512810
29,2016-10-11,0.963,0.975,0.963,0.972,4335200,sh512810
30,2016-10-12,0.966,0.972,0.96,0.971,5956800,sh512810
31,2016-10-13,0.971,0.976,0.97,0.973,2162600,sh512810
32,2016-10-14,0.969,0.972,0.963,0.972,3010500,sh512810
33,2016-10-17,0.972,0.975,0.956,0.957,1933500,sh512810
34,2016-10-18,0.953,0.971,0.953,0.969,2440662,sh512810
35,2016-10-19,0.969,0.977,0.968,0.973,3612462,sh512810
36,2016-10-20,0.978,0.98,0.973,0.974,3240224,sh512810
37,2016-10-21,0.969,0.974,0.963,0.97,2238900,sh512810
38,2016-10-24,0.973,0.981,0.966,0.977,11025000,sh512810
39,2016-10-25,0.978,0.98,0.974,0.975,4040400,sh512810
40,2016-10-26,0.979,0.979,0.968,0.97,3821800,sh512810
41,2016-10-27,0.967,0.973,0.967,0.972,4135800,sh512810
42,2016-10-28,0.972,0.975,0.962,0.963,4752700,sh512810
43,2016-10-31,0.961,0.961,0.957,0.96,953200,sh512810
44,2016-11-01,0.961,0.965,0.959,0.963,2506100,sh512810
45,2016-11-02,0.964,0.967,0.956,0.956,1888100,sh512810
46,2016-11-03,0.955,0.966,0.955,0.96,3017800,sh512810
47,2016-11-04,0.96,0.962,0.954,0.956,1790500,sh512810
48,2016-11-07,0.955,0.955,0.947,0.948,809000,sh512810
49,2016-11-08,0.959,0.959,0.95,0.954,1762100,sh512810
50,2016-11-09,0.951,0.955,0.937,0.945,960100,sh512810
51,2016-11-10,0.955,0.957,0.951,0.954,2863500,sh512810
52,2016-11-11,0.954,0.963,0.951,0.962,2543800,sh512810
53,2016-11-14,0.96,0.968,0.96,0.968,3824700,sh512810
54,2016-11-15,0.965,0.968,0.962,0.968,3384207,sh512810
55,2016-11-16,0.967,0.969,0.966,0.966,3656200,sh512810
56,2016-11-17,0.969,0.969,0.962,0.969,4265100,sh512810
57,2016-11-18,0.967,0.971,0.964,0.964,2247100,sh512810
58,2016-11-21,0.962,0.969,0.962,0.966,3901600,sh512810
59,2016-11-22,0.965,0.968,0.962,0.968,5068900,sh512810
60,2016-11-23,0.969,0.978,0.968,0.969,10920800,sh512810
61,2016-11-24,0.969,0.969,0.958,0.959,1179300,sh512810
62,2016-11-25,0.958,0.965,0.949,0.964,1759000,sh512810
63,2016-11-28,0.964,0.969,0.964,0.966,14046200,sh512810
64,2016-11-29,0.966,0.976,0.964,0.971,8012400,sh512810
65,2016-11-30,0.965,0.967,0.962,0.963,1660400,sh512810
66,2016-12-01,0.963,0.976,0.963,0.972,1975900,sh512810
67,2016-12-02,0.973,0.977,0.96,0.96,2311992,sh512810
68,2016-12-05,0.952,0.976,0.949,0.962,10054196,sh512810
69,2016-12-06,0.962,0.964,0.959,0.96,1350296,sh512810
70,2016-12-07,0.961,0.969,0.96,0.969,1947400,sh512810
71,2016-12-08,0.968,0.969,0.959,0.959,658700,sh512810
72,2016-12-09,0.956,0.956,0.95,0.954,1946700,sh512810
73,2016-12-12,0.951,0.955,0.905,0.913,6144700,sh512810
74,2016-12-13,0.912,0.933,0.908,0.925,5409000,sh512810
75,2016-12-14,0.918,0.94,0.914,0.926,3509400,sh512810
76,2016-12-15,0.93,0.952,0.926,0.94,5014000,sh512810
77,2016-12-16,0.936,0.939,0.932,0.934,622600,sh512810
78,2016-12-19,0.934,0.938,0.928,0.928,1158700,sh512810
79,2016-12-20,0.93,0.93,0.92,0.922,943900,sh512810
80,2016-12-21,0.92,0.942,0.92,0.941,4526767,sh512810
81,2016-12-22,0.941,0.944,0.938,0.939,1367900,sh512810
82,2016-12-23,0.939,0.946,0.937,0.937,1789800,sh512810
83,2016-12-26,0.93,0.941,0.925,0.941,2179300,sh512810
84,2016-12-27,0.938,0.94,0.934,0.936,725100,sh512810
85,2016-12-28,0.936,0.937,0.933,0.934,1448000,sh512810
86,2016-12-29,0.93,0.933,0.928,0.928,739000,sh512810
87,2016-12-30,0.932,0.932,0.925,0.928,442500,sh512810
88,2017-01-03,0.929,0.952,0.929,0.95,3177800,sh512810
89,2017-01-04,0.95,0.956,0.948,0.956,2019500,sh512810
90,2017-01-05,0.956,0.972,0.955,0.966,6493400,sh512810
91,2017-01-06,0.966,0.974,0.963,0.963,3783400,sh512810
92,2017-01-09,0.963,0.995,0.961,0.994,17761200,sh512810
93,2017-01-10,0.994,0.994,0.98,0.98,2586700,sh512810
94,2017-01-11,0.981,0.99,0.976,0.976,13236120,sh512810
95,2017-01-12,0.976,0.977,0.968,0.968,1302620,sh512810
96,2017-01-13,0.967,0.972,0.953,0.955,4044000,sh512810
97,2017-01-16,0.951,0.951,0.904,0.932,2648800,sh512810
98,2017-01-17,0.932,0.944,0.926,0.944,4674700,sh512810
99,2017-01-18,0.941,0.943,0.939,0.939,191600,sh512810
100,2017-01-19,0.93,0.936,0.929,0.93,3478600,sh512810
101,2017-01-20,0.929,0.946,0.929,0.943,1503800,sh512810
102,2017-01-23,0.944,0.966,0.944,0.959,3694100,sh512810
103,2017-01-24,0.956,0.957,0.951,0.953,1467100,sh512810
104,2017-01-25,0.951,0.957,0.951,0.955,1726100,sh512810
105,2017-01-26,0.959,0.965,0.959,0.964,653000,sh512810
106,2017-02-03,0.962,0.975,0.962,0.967,3724900,sh512810
107,2017-02-06,0.965,0.976,0.965,0.975,3301100,sh512810
108,2017-02-07,0.98,0.98,0.964,0.969,1518000,sh512810
109,2017-02-08,0.969,0.986,0.964,0.985,5724500,sh512810
110,2017-02-09,0.985,0.988,0.982,0.988,2483200,sh512810
111,2017-02-10,0.988,0.988,0.98,0.981,1278400,sh512810
112,2017-02-13,0.981,0.984,0.977,0.98,3540200,sh512810
113,2017-02-14,0.985,0.991,0.979,0.981,878000,sh512810
114,2017-02-15,0.981,0.981,0.965,0.966,4549900,sh512810
115,2017-02-16,0.969,0.975,0.965,0.971,8135100,sh512810
116,2017-02-17,0.972,0.981,0.969,0.977,8259744,sh512810
117,2017-02-20,0.979,0.983,0.976,0.981,2898644,sh512810
118,2017-02-21,0.981,0.987,0.979,0.985,4805200,sh512810
119,2017-02-22,0.984,0.986,0.98,0.982,1537300,sh512810
120,2017-02-23,0.983,0.983,0.974,0.978,2372000,sh512810
121,2017-02-24,0.979,0.99,0.979,0.989,14712300,sh512810
122,2017-02-27,0.99,0.99,0.978,0.979,2699500,sh512810
123,2017-02-28,0.979,0.983,0.979,0.983,2723000,sh512810
124,2017-03-01,0.983,0.996,0.983,0.992,6920000,sh512810
125,2017-03-02,0.985,0.992,0.982,0.983,747700,sh512810
126,2017-03-03,0.986,0.997,0.983,0.989,2046400,sh512810
127,2017-03-06,0.989,1.004,0.989,1.002,18583700,sh512810
128,2017-03-07,1.002,1.003,0.995,1.0,1640600,sh512810
129,2017-03-08,1.0,1.015,1.0,1.002,9190000,sh512810
130,2017-03-09,0.997,0.997,0.99,0.994,8554200,sh512810
131,2017-03-10,0.993,0.995,0.985,0.989,5653400,sh512810
132,2017-03-13,0.986,0.996,0.986,0.995,3088700,sh512810
133,2017-03-14,0.996,1.0,0.993,0.995,1222800,sh512810
134,2017-03-15,0.994,0.994,0.989,0.989,1716200,sh512810
135,2017-03-16,0.989,1.015,0.989,0.999,7967579,sh512810
136,2017-03-17,1.001,1.003,0.991,0.991,2454679,sh512810
137,2017-03-20,0.992,0.995,0.985,0.99,5909700,sh512810
138,2017-03-21,0.986,0.992,0.986,0.99,3918900,sh512810
139,2017-03-22,0.989,0.99,0.982,0.983,4553800,sh512810
140,2017-03-23,0.995,0.995,0.981,0.99,7209600,sh512810
141,2017-03-24,0.989,0.992,0.984,0.991,624500,sh512810
142,2017-03-27,0.991,1.002,0.991,1.002,5677600,sh512810
143,2017-03-28,1.002,1.002,0.994,0.996,4047500,sh512810
144,2017-03-29,0.995,0.999,0.991,0.991,1669300,sh512810
145,2017-03-30,0.989,0.989,0.975,0.975,3058200,sh512810
146,2017-03-31,0.98,1.0,0.98,0.993,4481000,sh512810
147,2017-04-05,0.995,1.008,0.991,1.007,7607000,sh512810
148,2017-04-06,1.003,1.01,1.003,1.007,3618500,sh512810
149,2017-04-07,1.01,1.023,1.01,1.015,12818800,sh512810
150,2017-04-10,1.016,1.025,1.011,1.017,8373348,sh512810
151,2017-04-11,1.018,1.068,1.015,1.063,28142448,sh512810
152,2017-04-12,1.064,1.07,1.046,1.049,46494548,sh512810
153,2017-04-13,1.049,1.049,1.037,1.04,10306948,sh512810
154,2017-04-14,1.049,1.057,1.03,1.03,7330900,sh512810
155,2017-04-17,1.022,1.025,1.002,1.007,4184100,sh512810
156,2017-04-18,1.01,1.015,0.998,0.999,14605700,sh512810
157,2017-04-19,1.0,1.0,0.973,0.984,13847300,sh512810
158,2017-04-20,0.983,0.993,0.973,0.981,4344889,sh512810
159,2017-04-21,0.985,0.987,0.972,0.975,4693800,sh512810
160,2017-04-24,0.97,0.974,0.947,0.948,12248700,sh512810
161,2017-04-25,0.956,0.959,0.94,0.956,3058000,sh512810
162,2017-04-26,0.956,0.96,0.946,0.948,647100,sh512810
163,2017-04-27,0.948,0.97,0.921,0.943,4314300,sh512810
164,2017-04-28,0.941,0.95,0.94,0.95,4047600,sh512810
165,2017-05-02,0.949,0.949,0.94,0.941,2036800,sh512810
166,2017-05-03,0.941,0.947,0.937,0.944,6600400,sh512810
167,2017-05-04,0.94,0.94,0.93,0.931,2614500,sh512810
168,2017-05-05,0.93,0.931,0.906,0.906,5968900,sh512810
169,2017-05-08,0.908,0.908,0.873,0.873,3675300,sh512810
170,2017-05-09,0.873,0.883,0.87,0.881,13819200,sh512810
171,2017-05-10,0.884,0.884,0.855,0.855,1956500,sh512810
172,2017-05-11,0.847,0.85,0.826,0.848,5292400,sh512810
173,2017-05-12,0.847,0.851,0.842,0.844,1228600,sh512810
174,2017-05-15,0.854,0.854,0.849,0.851,1290200,sh512810
175,2017-05-16,0.846,0.86,0.832,0.859,4341500,sh512810
176,2017-05-17,0.859,0.876,0.858,0.866,814200,sh512810
177,2017-05-18,0.861,0.866,0.855,0.855,4633200,sh512810
178,2017-05-19,0.859,0.861,0.85,0.855,344900,sh512810
179,2017-05-22,0.854,0.859,0.839,0.84,3186300,sh512810
180,2017-05-23,0.84,0.84,0.809,0.809,7444400,sh512810
181,2017-05-24,0.809,0.815,0.791,0.813,10894000,sh512810
182,2017-05-25,0.814,0.824,0.803,0.822,900800,sh512810
183,2017-05-26,0.823,0.825,0.819,0.821,469200,sh512810
184,2017-05-31,0.821,0.83,0.821,0.821,257400,sh512810
185,2017-06-01,0.822,0.822,0.797,0.799,802000,sh512810
186,2017-06-02,0.799,0.815,0.793,0.809,7967400,sh512810
187,2017-06-05,0.812,0.821,0.812,0.819,2486700,sh512810
188,2017-06-06,0.818,0.83,0.818,0.825,1919800,sh512810
189,2017-06-07,0.827,0.838,0.827,0.837,1730400,sh512810
190,2017-06-08,0.837,0.842,0.834,0.834,3685700,sh512810
191,2017-06-09,0.832,0.838,0.828,0.838,1211700,sh512810
192,2017-06-12,0.838,0.838,0.824,0.825,463900,sh512810
193,2017-06-13,0.825,0.831,0.822,0.829,224300,sh512810
194,2017-06-14,0.831,0.841,0.831,0.834,2800900,sh512810
195,2017-06-15,0.839,0.847,0.837,0.843,1224600,sh512810
196,2017-06-16,0.843,0.85,0.839,0.849,1376600,sh512810
197,2017-06-19,0.849,0.867,0.849,0.863,2787900,sh512810
198,2017-06-20,0.863,0.866,0.861,0.861,1893200,sh512810
199,2017-06-21,0.865,0.873,0.859,0.863,896000,sh512810
200,2017-06-22,0.856,0.859,0.848,0.848,625100,sh512810
201,2017-06-23,0.848,0.853,0.837,0.85,745400,sh512810
202,2017-06-26,0.849,0.857,0.849,0.857,904600,sh512810
203,2017-06-27,0.857,0.867,0.857,0.864,1163700,sh512810
