,date,open,high,low,close,volume,fundname
0,2020-02-18,1.105,1.156,1.099,1.154,1006232179,sz159801
1,2020-02-19,1.154,1.218,1.131,1.178,781112429,sz159801
2,2020-02-20,1.181,1.219,1.152,1.219,738149977,sz159801
3,2020-02-21,1.209,1.255,1.202,1.245,562148808,sz159801
4,2020-02-24,1.248,1.328,1.239,1.328,581861766,sz159801
5,2020-02-25,1.303,1.374,1.248,1.37,1001513583,sz159801
6,2020-02-26,1.34,1.353,1.236,1.242,1191451263,sz159801
7,2020-02-27,1.249,1.263,1.174,1.19,905551264,sz159801
8,2020-02-28,1.128,1.167,1.091,1.121,1026087249,sz159801
9,2020-03-02,1.148,1.155,1.095,1.126,761358041,sz159801
10,2020-03-03,1.146,1.188,1.12,1.132,798147001,sz159801
11,2020-03-04,1.116,1.118,1.052,1.082,867818483,sz159801
12,2020-03-05,1.104,1.11,1.06,1.096,683071817,sz159801
13,2020-03-06,1.07,1.097,1.067,1.082,303813615,sz159801
14,2020-03-09,1.062,1.062,0.99,0.992,775872465,sz159801
15,2020-03-10,0.978,1.064,0.978,1.064,727013822,sz159801
16,2020-03-11,1.07,1.073,1.018,1.021,462171221,sz159801
17,2020-03-12,0.994,1.034,0.991,1.023,372936458,sz159801
18,2020-03-13,0.978,1.065,0.978,1.051,614915443,sz159801
19,2020-03-16,1.061,1.061,0.985,0.99,591505575,sz159801
20,2020-03-17,1.012,1.023,0.96,1.008,477524426,sz159801
21,2020-03-18,1.018,1.046,0.993,0.997,580015978,sz159801
22,2020-03-19,1.001,1.033,0.989,1.027,488983311,sz159801
23,2020-03-20,1.038,1.043,1.001,1.016,421413283,sz159801
24,2020-03-23,0.988,0.991,0.933,0.937,656951671,sz159801
25,2020-03-24,0.959,0.962,0.896,0.936,528190688,sz159801
26,2020-03-25,0.958,0.972,0.944,0.955,413333743,sz159801
27,2020-03-26,0.938,0.957,0.926,0.927,597760870,sz159801
28,2020-03-27,0.94,0.943,0.914,0.915,293675333,sz159801
29,2020-03-30,0.894,0.902,0.859,0.887,395703183,sz159801
30,2020-03-31,0.903,0.912,0.877,0.879,267065153,sz159801
31,2020-04-01,0.875,0.916,0.871,0.894,379785318,sz159801
32,2020-04-02,0.892,0.964,0.891,0.962,562989259,sz159801
33,2020-04-03,0.955,0.964,0.937,0.949,283015600,sz159801
34,2020-04-07,0.98,0.984,0.967,0.97,232595249,sz159801
35,2020-04-08,0.964,0.992,0.96,0.976,247326335,sz159801
36,2020-04-09,0.982,0.986,0.956,0.964,201484914,sz159801
37,2020-04-10,0.962,0.962,0.912,0.918,288853362,sz159801
38,2020-04-13,0.904,0.905,0.878,0.888,257383705,sz159801
39,2020-04-14,0.896,0.923,0.891,0.92,221437378,sz159801
40,2020-04-15,0.921,0.962,0.916,0.931,378849455,sz159801
41,2020-04-16,0.922,0.951,0.913,0.944,232912329,sz159801
42,2020-04-17,0.959,0.995,0.959,0.97,469700792,sz159801
43,2020-04-20,0.97,0.979,0.955,0.974,159838370,sz159801
44,2020-04-21,0.961,0.97,0.933,0.949,223219682,sz159801
45,2020-04-22,0.933,0.957,0.933,0.955,145298129,sz159801
46,2020-04-23,0.954,0.956,0.935,0.937,176256062,sz159801
47,2020-04-24,0.937,0.947,0.911,0.916,183462729,sz159801
48,2020-04-27,0.915,0.917,0.891,0.907,176925326,sz159801
49,2020-04-28,0.903,0.949,0.889,0.944,399744258,sz159801
50,2020-04-29,0.934,0.943,0.931,0.934,134743533,sz159801
51,2020-04-30,0.954,1.012,0.95,1.006,681411654,sz159801
52,2020-05-06,1.002,1.064,1.002,1.063,566249900,sz159801
53,2020-05-07,1.072,1.082,1.05,1.058,295528289,sz159801
