,symbol,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,code,ticktime,state,statetxt
0,sz159999,永赢500,1.046,-0.004,-0.381,1.043,1.051,1.050,1.052,1.054,1.045,926615,972577,159999,15:00:00,00,正常
1,sz159998,计算机,1.053,-0.008,-0.754,1.052,1.053,1.061,1.060,1.067,1.050,15152600,15997593,159998,15:00:00,00,正常
2,sz159997,电子ETF,1.173,-0.009,-0.761,1.173,1.174,1.182,1.184,1.194,1.172,61553500,72655567,159997,15:00:00,00,正常
3,sz159996,家电ETF,1.409,0.000,0.000,1.408,1.409,1.409,1.413,1.432,1.402,41384600,58652662,159996,15:00:00,00,正常
4,sz159995,芯片ETF,1.187,-0.011,-0.918,1.186,1.187,1.198,1.202,1.211,1.184,304246067,363734499,159995,15:00:00,00,正常
5,sz159994,5GETF,0.844,-0.011,-1.287,0.844,0.845,0.855,0.856,0.859,0.843,63024023,53427421,159994,15:00:00,00,正常
6,sz159993,龙头券商,1.102,-0.015,-1.343,1.101,1.102,1.117,1.116,1.120,1.098,58666760,64892685,159993,15:00:00,00,正常
7,sz159992,创新药,1.529,-0.032,-2.050,1.529,1.530,1.561,1.567,1.577,1.528,124880567,192735614,159992,15:00:00,00,正常
8,sz159991,创大盘,0.636,-0.006,-0.935,0.636,0.637,0.642,0.644,0.649,0.632,12138883,7739463,159991,15:00:00,00,正常
9,sz159990,小盘价值,1.212,0.008,0.664,1.212,1.213,1.204,1.208,1.215,1.200,1119700,1352702,159990,15:00:00,00,正常
10,sz159988,粤债ETF,1.015,-0.002,-0.197,1.011,1.017,1.017,1.015,1.017,1.015,24000,24364,159988,15:00:00,00,正常
11,sz159987,创新ETF,1.655,-0.019,-1.135,1.655,1.656,1.674,1.681,1.687,1.653,5627000,9346775,159987,15:00:00,00,正常
12,sz159986,消费100,1.479,-0.019,-1.268,1.480,1.481,1.498,1.489,1.509,1.478,437600,651360,159986,15:00:03,00,正常
13,sz159985,豆粕ETF,1.264,-0.014,-1.095,1.264,1.265,1.278,1.274,1.274,1.262,11992300,15186934,159985,15:00:00,00,正常
14,sz159984,湾区基金,1.347,-0.013,-0.956,1.344,1.347,1.360,1.366,1.366,1.343,320600,431902,159984,15:00:00,00,正常
15,sz159983,大湾区,1.394,-0.015,-1.065,1.394,1.395,1.409,1.410,1.410,1.393,280201,392109,159983,15:00:00,00,正常
16,sz159982,中证500,1.426,-0.002,-0.140,1.425,1.426,1.428,1.427,1.434,1.420,5196701,7410982,159982,15:00:00,00,正常
17,sz159981,能源化工,1.179,-0.044,-3.598,1.179,1.180,1.223,1.201,1.216,1.178,12832506,15241001,159981,15:00:00,00,正常
18,sz159980,有色ETF,1.352,-0.020,-1.458,1.351,1.352,1.372,1.356,1.366,1.345,53236600,72139191,159980,15:00:00,00,正常
19,sz159979,湾创100,1.319,0.022,1.696,1.275,1.316,1.297,1.295,1.319,1.269,118900,152040,159979,15:00:00,00,正常
20,sz159978,湾区ETF,1.272,-0.019,-1.472,1.270,1.272,1.291,1.289,1.289,1.272,296012,378476,159978,15:00:00,00,正常
21,sz159977,创业板TH,3.141,-0.027,-0.852,3.140,3.141,3.168,3.175,3.200,3.126,9159143,28842349,159977,15:00:00,00,正常
22,sz159976,湾创ETF,1.322,-0.013,-0.974,1.321,1.322,1.335,1.330,1.335,1.318,348000,459731,159976,15:00:00,00,正常
23,sz159975,深100SZ,0.748,-0.008,-1.058,0.747,0.748,0.756,0.756,0.761,0.744,12084000,9068345,159975,15:00:00,00,正常
24,sz159974,央企创新,1.127,-0.005,-0.442,1.127,1.129,1.132,1.125,1.127,1.125,14000,15758,159974,15:00:00,00,正常
25,sz159973,民企100,1.800,-0.024,-1.316,1.800,1.818,1.824,1.841,1.841,1.800,16200,29416,159973,15:00:03,00,正常
26,sz159972,5年地债,103.950,0.079,0.076,103.945,103.950,103.871,103.920,104.170,103.822,190900,19847746,159972,15:00:00,00,正常
27,sz159971,创业100,2.110,-0.020,-0.939,2.105,2.110,2.130,2.140,2.141,2.098,66500,140193,159971,15:00:00,00,正常
28,sz159970,深100ET,6.742,-0.055,-0.809,6.727,6.735,6.797,6.834,6.834,6.715,61500,417063,159970,15:00:00,00,正常
29,sz159969,深100P,1.703,-0.016,-0.931,1.701,1.703,1.719,1.717,1.733,1.696,3672400,6271206,159969,15:00:00,00,正常
30,sz159968,ZZ500ETF,7.086,-0.014,-0.197,7.088,7.089,7.100,7.139,7.240,7.060,2721062,19296137,159968,15:00:00,00,正常
31,sz159967,创成长,0.716,-0.006,-0.831,0.716,0.717,0.722,0.728,0.729,0.710,337555091,242848581,159967,15:00:00,00,正常
32,sz159966,创蓝筹,0.672,-0.003,-0.444,0.672,0.673,0.675,0.677,0.679,0.666,45992396,30935172,159966,15:00:00,00,正常
33,sz159965,央视50,1.489,-0.010,-0.667,1.489,1.492,1.499,1.499,1.507,1.488,185100,276796,159965,15:00:03,00,正常
34,sz159964,创业板PA,1.887,-0.017,-0.893,1.875,1.889,1.904,1.904,1.904,1.874,9200,17352,159964,15:00:00,00,正常
35,sz159962,四川国改,1.673,0.006,0.360,1.667,1.669,1.667,1.672,1.680,1.665,1048300,1753271,159962,15:00:00,00,正常
36,sz159961,深100,2.309,-0.021,-0.901,2.308,2.309,2.330,2.340,2.350,2.300,135500,312255,159961,15:00:00,00,正常
37,sz159960,恒生国企,1.016,0.001,0.099,1.015,1.016,1.015,1.018,1.020,1.013,4168800,4235936,159960,15:00:00,00,正常
38,sz159959,央企ETF,1.227,-0.006,-0.487,1.228,1.230,1.233,1.233,1.237,1.227,86200,106388,159959,15:00:00,00,正常
39,sz159958,创业板ET,1.808,-0.015,-0.823,1.806,1.808,1.823,1.836,1.836,1.795,4986601,9045775,159958,15:00:00,00,正常
40,sz159957,创业板HX,1.922,-0.010,-0.518,1.918,1.921,1.932,1.936,1.960,1.910,1773300,3427140,159957,15:00:00,00,正常
41,sz159956,创业板F,1.830,-0.023,-1.241,1.822,1.830,1.853,1.809,1.864,1.809,81200,148629,159956,15:00:00,00,正常
42,sz159955,创业板E,1.680,-0.015,-0.885,1.679,1.692,1.695,1.716,1.716,1.674,1285100,2178763,159955,15:00:00,00,正常
43,sz159954,H股ETF,0.971,0.001,0.103,0.971,0.973,0.970,0.972,0.978,0.968,17788700,17319250,159954,15:00:00,00,正常
44,sz159952,创业ETF,1.816,-0.015,-0.819,1.816,1.817,1.831,1.835,1.848,1.803,28061060,51035727,159952,15:00:00,00,正常
45,sz159951,中关村A,0.943,-0.005,-0.527,0.943,0.948,0.948,0.941,0.951,0.941,1000,943,159951,15:00:03,00,正常
46,sz159949,创业板50,1.346,-0.014,-1.029,1.345,1.346,1.360,1.369,1.373,1.335,721615036,974489834,159949,15:00:00,00,正常
47,sz159948,创业板EF,3.302,-0.028,-0.841,3.300,3.302,3.330,3.340,3.360,3.280,13280200,43915787,159948,15:00:00,00,正常
48,sz159945,能源,0.671,0.002,0.299,0.670,0.671,0.669,0.667,0.676,0.664,2093140,1401789,159945,15:00:00,00,正常
49,sz159944,材料ETF,1.078,0.001,0.093,1.077,1.078,1.077,1.079,1.087,1.070,329400,355259,159944,15:00:00,00,正常
50,sz159943,深证ETF,16.410,-0.168,-1.013,16.418,16.420,16.578,16.586,16.664,16.380,40730,671090,159943,15:00:00,00,正常
51,sz159941,纳指ETF,2.692,0.048,1.815,2.692,2.693,2.644,2.690,2.694,2.683,11853100,31859882,159941,15:00:00,00,正常
52,sz159940,金融,1.103,-0.012,-1.076,1.103,1.104,1.115,1.109,1.116,1.101,764800,846333,159940,15:00:00,00,正常
53,sz159939,信息技术,1.289,-0.010,-0.770,1.289,1.290,1.299,1.301,1.306,1.288,9047300,11705948,159939,15:00:00,00,正常
54,sz159938,医药,2.254,-0.026,-1.140,2.253,2.254,2.280,2.282,2.294,2.250,9289400,21022972,159938,15:00:00,00,正常
55,sz159937,博时黄金,3.813,0.001,0.026,3.812,3.813,3.812,3.812,3.820,3.804,43789800,166897904,159937,15:00:00,00,正常
56,sz159936,可选消费,1.995,-0.014,-0.697,1.994,1.995,2.009,2.009,2.011,1.979,192700,384856,159936,15:00:00,00,正常
57,sz159935,景顺500,1.926,-0.005,-0.259,1.922,1.960,1.931,1.931,1.940,1.922,76600,147937,159935,15:00:03,00,正常
58,sz159934,黄金ETF,3.782,0.002,0.053,3.781,3.782,3.780,3.780,3.790,3.774,227446966,860139977,159934,15:00:00,00,正常
59,sz159933,金地ETF,2.502,-0.034,-1.341,2.500,2.512,2.536,2.525,2.525,2.502,8000,20149,159933,15:00:03,00,正常
60,sz159932,500深ETF,1.830,0.026,1.441,1.805,1.830,1.804,1.804,1.831,1.804,52400,95923,159932,15:00:00,00,正常
61,sz159931,金融ETF,1.770,-0.020,-1.117,1.769,1.770,1.790,1.788,1.796,1.767,392000,697274,159931,15:00:00,00,正常
62,sz159930,能源ETF,0.722,0.007,0.979,0.722,0.723,0.715,0.710,0.725,0.710,13425100,9657516,159930,15:00:00,00,正常
63,sz159929,医药ETF,2.576,-0.039,-1.491,2.576,2.578,2.615,2.613,2.639,2.570,6618000,17183365,159929,15:00:00,00,正常
64,sz159928,消费ETF,5.184,-0.053,-1.012,5.184,5.185,5.237,5.227,5.265,5.161,17171467,89529750,159928,15:00:00,00,正常
65,sz159926,国债ETF,0.000,0.000,0.000,114.000,120.265,114.048,0.000,0.000,0.000,0,0,159926,15:00:00,00,正常
66,sz159925,南方300,2.415,-0.026,-1.065,2.415,2.416,2.441,2.440,2.453,2.411,1560569,3777944,159925,15:00:00,00,正常
67,sz159923,100ETF,2.272,-0.022,-0.959,2.262,2.272,2.294,2.298,2.298,2.256,52200,119312,159923,15:00:03,00,正常
68,sz159922,500ETF,7.205,-0.015,-0.208,7.205,7.206,7.220,7.220,7.240,7.175,12657200,91142906,159922,15:00:00,00,正常
69,sz159920,恒生ETF,1.472,-0.002,-0.136,1.471,1.472,1.474,1.479,1.481,1.467,686669811,1011085276,159920,15:00:00,00,正常
70,sz159919,300ETF,5.119,-0.058,-1.120,5.118,5.119,5.177,5.181,5.210,5.104,96960390,500106226,159919,15:00:00,00,正常
71,sz159918,中创400,1.960,-0.002,-0.102,1.937,1.945,1.962,1.961,1.962,1.929,10400,20354,159918,15:00:00,00,正常
72,sz159916,深F60,5.796,-0.038,-0.651,5.796,5.825,5.834,5.836,5.839,5.796,21600,125581,159916,15:00:00,00,正常
73,sz159915,创业板,3.012,-0.031,-1.019,3.011,3.012,3.043,3.055,3.065,2.992,182912900,553115436,159915,15:00:00,00,正常
74,sz159913,深价值,2.490,0.012,0.484,2.478,2.490,2.478,2.502,2.502,2.490,2900,7227,159913,15:00:00,00,正常
