,date,open,high,low,close,volume
0,2017-01-18,0.989,0.989,0.969,0.977,34560460
1,2017-01-19,0.978,0.99,0.978,0.989,25771600
2,2017-01-20,0.989,0.99,0.986,0.988,5098000
3,2017-01-23,0.988,0.989,0.986,0.988,1373900
4,2017-01-24,0.989,0.992,0.987,0.989,1793700
5,2017-01-25,0.99,1.004,0.99,1.001,8407800
6,2017-01-26,1.01,1.01,1.005,1.01,5306400
7,2017-02-03,1.003,1.008,1.0,1.007,3916200
8,2017-02-06,1.009,1.01,1.006,1.009,2608100
9,2017-02-07,1.01,1.023,1.01,1.018,2563700
10,2017-02-08,1.02,1.023,1.017,1.019,985500
11,2017-02-09,1.025,1.033,1.025,1.03,8122120
12,2017-02-10,1.034,1.037,1.032,1.035,9194460
13,2017-02-13,1.041,1.043,1.036,1.042,1678800
14,2017-02-14,1.044,1.049,1.043,1.049,4350000
15,2017-02-15,1.052,1.066,1.049,1.058,3656400
16,2017-02-16,1.061,1.066,1.058,1.06,5184400
17,2017-02-17,1.061,1.069,1.061,1.065,6331200
18,2017-02-20,1.068,1.095,1.068,1.092,6273620
19,2017-02-21,1.102,1.102,1.074,1.077,4508300
20,2017-02-22,1.08,1.092,1.079,1.087,7511300
21,2017-02-23,1.092,1.094,1.087,1.088,3780100
22,2017-02-24,1.087,1.087,1.071,1.075,3341700
23,2017-02-27,1.071,1.071,1.057,1.06,3183860
24,2017-02-28,1.067,1.067,1.061,1.061,1467100
25,2017-03-01,1.062,1.066,1.061,1.064,1589701
26,2017-03-02,1.077,1.081,1.071,1.077,1369820
27,2017-03-03,1.073,1.073,1.062,1.064,2190100
28,2017-03-06,1.064,1.075,1.063,1.065,749100
29,2017-03-07,1.065,1.065,1.056,1.061,1110060
30,2017-03-08,1.062,1.065,1.061,1.062,1826400
31,2017-03-09,1.071,1.072,1.069,1.071,1965860
32,2017-03-10,1.07,1.071,1.065,1.071,562000
33,2017-03-13,1.071,1.072,1.069,1.071,1750400
34,2017-03-14,1.083,1.086,1.08,1.083,2169200
35,2017-03-15,1.083,1.083,1.078,1.08,546800
36,2017-03-16,1.079,1.088,1.079,1.087,1282700
37,2017-03-17,1.095,1.1,1.09,1.096,1608200
38,2017-03-20,1.096,1.114,1.096,1.111,1538600
39,2017-03-21,1.113,1.121,1.113,1.12,1888000
