日期,基金代码,动量值
2020-04-30,sz159915,106.180074587107
2020-04-30,sz159992,101.36186770428000
2020-04-30,sh512690,105.61998215878700
2020-05-06,sz159915,109.49811117107400
2020-05-06,sz159992,101.73243503368600
2020-05-06,sh512690,107.34109221128000
2020-05-07,sz159915,106.07647983237300
2020-05-07,sz159992,100.664767331434
2020-05-07,sh512690,106.88437775816400
2020-05-08,sz159915,107.53027909426000
2020-05-08,sz159992,102.19675262655200
2020-05-08,sh512690,108.61456483126100
2020-05-11,sz159915,104.76190476190500
2020-05-11,sz159992,101.23809523809500
2020-05-11,sh512690,109.26916221033900
2020-05-12,sz159915,105.14668039114800
2020-05-12,sz159992,103.06807286673100
2020-05-12,sh512690,109.29203539823000
2020-05-13,sz159915,104.52006094464200
2020-05-13,sz159992,103.20452403393000
2020-05-13,sh512690,111.66666666666700
2020-05-14,sz159915,104.46382760389900
2020-05-14,sz159992,103.60189573459700
2020-05-14,sh512690,113.68515205724500
2020-05-15,sz159915,103.8129130655820
2020-05-15,sz159992,102.4436090225560
2020-05-15,sh512690,109.83463881636200
2020-05-18,sz159915,104.51050743208600
2020-05-18,sz159992,103.38345864661700
2020-05-18,sh512690,112.22896790980100
2020-05-19,sz159915,106.78756476683900
2020-05-19,sz159992,105.81506196377500
2020-05-19,sh512690,111.29170230966600
2020-05-20,sz159915,105.26044352759200
2020-05-20,sz159992,103.67577756833200
2020-05-20,sh512690,111.02497846683900
2020-05-21,sz159915,103.5366478728860
2020-05-21,sz159992,103.86427898209200
2020-05-21,sh512690,109.23593618807700
2020-05-22,sz159915,101.02459016393400
2020-05-22,sz159992,102.19675262655200
2020-05-22,sh512690,106.98466780238500
2020-05-25,sz159915,99.09683893627700
2020-05-25,sz159992,104.12667946257200
2020-05-25,sh512690,108.53040540540500
2020-05-26,sz159915,100.44356826022700
2020-05-26,sz159992,105.01419110690600
2020-05-26,sh512690,108.50708924103400
2020-05-27,sz159915,98.61728395061730
2020-05-27,sz159992,102.64150943396200
2020-05-27,sh512690,106.68868703550800
2020-05-28,sz159915,97.06170421155730
2020-05-28,sz159992,100.28037383177600
2020-05-28,sh512690,107.0318887980380
2020-05-29,sz159915,99.11067193675890
2020-05-29,sz159992,102.6340545625590
2020-05-29,sh512690,108.31973898858100
2020-06-01,sz159915,101.90895741556500
2020-06-01,sz159992,102.88372093023300
2020-06-01,sh512690,110.36437246963600
2020-06-02,sz159915,100.43731778425700
2020-06-02,sz159992,100.0
2020-06-02,sh512690,105.26315789473700
2020-06-03,sz159915,101.17878192534400
2020-06-03,sz159992,100.36596523330300
2020-06-03,sh512690,105.50747442958300
2020-06-04,sz159915,101.5181194906950
2020-06-04,sz159992,101.37614678899100
2020-06-04,sh512690,108.39936608557800
2020-06-05,sz159915,102.35409514467900
2020-06-05,sz159992,101.7272727272730
2020-06-05,sh512690,107.03245749613600
2020-06-08,sz159915,100.58224163027700
2020-06-08,sz159992,99.81981981981980
2020-06-08,sh512690,106.61029976940800
2020-06-09,sz159915,102.98873101420900
2020-06-09,sz159992,102.7272727272730
2020-06-09,sh512690,108.68890612878200
2020-06-10,sz159915,105.04950495049500
2020-06-10,sz159992,104.1742286751360
2020-06-10,sh512690,108.1475787855500
2020-06-11,sz159915,107.45436105476700
2020-06-11,sz159992,106.54205607476600
2020-06-11,sh512690,110.03184713375800
2020-06-12,sz159915,108.40506329113900
2020-06-12,sz159992,106.54377880184300
2020-06-12,sh512690,108.0933852140080
2020-06-15,sz159915,105.05397448478900
2020-06-15,sz159992,104.41441441441400
2020-06-15,sh512690,104.61183704842400
2020-06-16,sz159915,109.31397095643500
2020-06-16,sz159992,108.91544117647100
2020-06-16,sh512690,107.35294117647100
2020-06-17,sz159915,110.39354187689200
2020-06-17,sz159992,113.1407269338300
2020-06-17,sh512690,104.58365164247500
2020-06-18,sz159915,109.37188434695900
2020-06-18,sz159992,108.89092575618700
2020-06-18,sh512690,103.2379518072290
2020-06-19,sz159915,107.492795389049
2020-06-19,sz159992,109.94575045208000
2020-06-19,sh512690,103.08143800440200
2020-06-22,sz159915,109.48234155781300
2020-06-22,sz159992,112.14611872146100
2020-06-22,sh512690,105.52238805970100
2020-06-23,sz159915,111.99029126213600
2020-06-23,sz159992,114.94986326344600
2020-06-23,sh512690,108.7248322147650
2020-06-24,sz159915,111.28798842257600
2020-06-24,sz159992,112.8506787330320
2020-06-24,sh512690,106.50584795321600
2020-06-29,sz159915,109.96645903210300
2020-06-29,sz159992,112.42180518319900
2020-06-29,sh512690,105.34296028880900
2020-06-30,sz159915,113.79643029426000
2020-06-30,sz159992,115.70397111913400
2020-06-30,sh512690,108.21917808219200
2020-07-01,sz159915,111.41769743101800
2020-07-01,sz159992,111.94690265486700
2020-07-01,sh512690,113.49036402569600
2020-07-02,sz159915,110.7445805843540
2020-07-02,sz159992,109.3205574912890
2020-07-02,sh512690,114.78322672352500
2020-07-03,sz159915,112.31713072203900
2020-07-03,sz159992,111.14035087719300
2020-07-03,sh512690,115.62952243125900
2020-07-06,sz159915,114.43250817375100
2020-07-06,sz159992,109.86159169550200
2020-07-06,sh512690,117.92656587473
2020-07-07,sz159915,116.90798692199900
2020-07-07,sz159992,112.33822260569500
2020-07-07,sh512690,122.99779573842800
2020-07-08,sz159915,117.91113147045400
2020-07-08,sz159992,110.042194092827
2020-07-08,sh512690,121.12472963230000
2020-07-09,sz159915,122.21206581352800
2020-07-09,sz159992,112.19110378912700
2020-07-09,sh512690,124.47041636230800
2020-07-10,sz159915,122.3792160437560
